0  0.0  1.366909335746691e-52 2731.0
1  0.00015007589378895824  150013.82182774608 22126.0
2  0.00020010119171861099  50797.82702688639 21731.0
3  0.00040020238343722197  3.365438412029342e-47 5943.0
4  0.0005502782772261802  307032.93387741863 68406.0
5  0.000600303575155833  237326.7426011728 46693.0
6  0.0008004047668744439  170085.08794720625 47710.0
7  0.0009504806606634022  59470.697986906314 24405.0
8  0.001200607150311666  407313.54300332104 103991.0
9  0.001350683044100624  538770.1510224692 133483.0
10  0.0016008095337488879  5.928861964380785e-50 7305.0
11  0.0018009107254674988  588095.5381984942 150252.0
12  0.0021510878109750682  598405.1027458091 171184.0
13  0.002201113108904721  1059899.756915629 211544.0
14  0.002401214300623332  559267.5312825218 150731.0
15  0.00255129019441229  1216356.718943217 348017.0
16  0.002951492577849512  616267.1002512964 163662.0
17  0.0032016190674977758  830885.6226034167 220978.0
18  0.003351694961286734  1883694.9229604842 385993.0
19  0.0034017202592163866  1901063.1254775324 337193.0
20  0.0036018214509349975  4528050.417199707 375530.0
21  0.003751897344723956  7.495425422758362e-13 217369.0
22  0.003801922642653609  1.7625725560159548e-78 87532.0
23  0.004152099728161178  0.0 227791.0
24  0.004402226217809442  0.0 21098.0
25  0.004802428601246664  0.0 19499.0
26  0.004952504495035622  0.0 17614.0
27  0.0050025297929652745  0.0 1603.0
28  0.0053527068784728436  0.0 0.0
29  0.005402732176402496  0.0 0.0
30  0.006153111645347288  0.0 0.0
31  0.0064032381349955515  0.0 0.0
32  0.00655331402878451  0.0 0.0
33  0.006603339326714162  0.0 0.0
34  0.006803440518432773  0.0 0.0
35  0.0069535164122217314  0.0 0.0
36  0.007203642901869995  0.0 0.0
37  0.007353718795658954  0.0 0.0
38  0.007603845285307218  0.0 0.0
39  0.008154123562533398  0.0 0.0
40  0.008204148860463051  0.0 0.0
41  0.00855432594597062  0.0 0.0
42  0.008604351243900273  0.0 0.0
43  0.008804452435618884  0.0 0.0
44  0.008954528329407841  0.0 0.0
45  0.009354730712845063  0.0 0.0
46  0.009604857202493327  0.0 0.0
47  0.009804958394211938  0.0 0.0
48  0.01020516077764916  0.0 0.0
49  0.010805464352804993  0.0 0.0
50  0.010955540246593952  0.0 0.0
51  0.011355742630031173  0.0 0.0
52  0.011405767927960827  0.0 0.0
53  0.012156147396905617  0.0 0.0
54  0.012806476269991103  0.0 0.0
