# ort(start) =    -8.1790
#   klo  khi step start
#%    4  210    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.225000           9.31154026          164.110569         0.567394308739E-01
0.225150           8.66166136          164.393760         0.526885046063E-01
0.225300           7.91095974          164.675930         0.480395629952E-01
0.225450           7.09418153          164.957076         0.430062273915E-01
0.225600           6.25625477          165.237191         0.378622676721E-01
0.225750           5.44937896          165.516272         0.329235241245E-01
0.225900           4.72868685          165.794311         0.285214058514E-01
0.226050           4.14688362          166.071306         0.249705004107E-01
0.226200           3.74845873          166.347251         0.225339385642E-01
0.226350           3.56418454          166.622140         0.213908220223E-01
0.226500           3.60664320          166.895970         0.216101276243E-01
0.226650           3.86744997          167.168734         0.231350078030E-01
0.226800           4.31667322          167.440429         0.257803520587E-01
0.226950           4.90470459          167.711050         0.292449697356E-01
0.227100           5.56653669          167.980592         0.331379752284E-01
0.227250           6.22809527          168.249049         0.370171201163E-01
0.227400           6.81398794          168.516418         0.404351576773E-01
0.227550           7.25581080          168.782694         0.429890685982E-01
0.227700           7.50003006          169.047871         0.443663088206E-01
0.227850           7.51445082          169.311946         0.443822836527E-01
0.228000           7.29240722          169.574914         0.430040450215E-01
0.228150           6.85405062          169.836769         0.403566945920E-01
0.228300           6.24445014          170.097508         0.367110029880E-01
0.228450           5.52861522          170.357126         0.324530903645E-01
0.228600           4.78395342          170.615619         0.280393638273E-01
0.228750           4.09103363          170.872982         0.239419572900E-01
0.228900           3.52378533          171.129210         0.205913726208E-01
0.229050           3.14038467          171.384299         0.183236427430E-01
0.229200           2.97603443          171.638245         0.173389935468E-01
0.229350           3.03863256          171.891046         0.176776663283E-01
0.229500           3.30796465          172.142679         0.192164119736E-01
0.229650           3.73859148          172.393195         0.216864214582E-01
0.229800           4.26609630          172.642784         0.247105392326E-01
0.229950           4.81587784          172.892263         0.278547908833E-01
0.230100           5.31329733          173.139091         0.306880283053E-01
0.230250           5.69376887          173.384920         0.328388931550E-01
0.230400           5.91136457          173.629559         0.340458421984E-01
0.230550           5.94469634          173.873013         0.341898735422E-01
0.230700           5.79921680          174.115283         0.333067649443E-01
0.230850           5.50559942          174.356363         0.315767049187E-01
0.231000           5.11443827          174.596249         0.292929447825E-01
0.231150           4.68806385          174.834937         0.268142279871E-01
0.231300           4.29071478          175.072423         0.245082275479E-01
0.231450           3.97856549          175.308703         0.226946262389E-01
0.231600           3.79114081          175.543774         0.215965552505E-01
0.231750           3.74543997          175.777631         0.213078305488E-01
0.231900           3.83367461          176.010270         0.217809711645E-01
0.232050           4.02495894          176.241688         0.228377235450E-01
0.232200           4.27066585          176.471881         0.242002626145E-01
0.232350           4.51257951          176.700844         0.255379623430E-01
0.232500           4.69252797          176.928575         0.265221599534E-01
0.232650           4.76194368          177.155070         0.268800870099E-01
0.232800           4.68981525          177.380324         0.264393205837E-01
0.232950           4.46776079          177.604334         0.251556968415E-01
0.233100           4.11142849          177.827097         0.231203712011E-01
0.233250           3.65803575          178.048609         0.205451521108E-01
0.233400           3.16049428          178.268866         0.177288068251E-01
0.233550           2.67912772          178.487865         0.150101393685E-01
0.233700           2.27237607          178.705602         0.127157517618E-01
0.233850           1.98803261          178.922074         0.111111645762E-01
0.234000           1.85644722          179.137277         0.103632658177E-01
0.234150           1.88677544          179.351208         0.105200040960E-01
0.234300           2.06681618          179.563863         0.115102011125E-01
0.234450           2.36635613          179.775240         0.131628589594E-01
0.234600           2.74333443          179.985334         0.152419886924E-01
0.234750           3.15166241          180.194143         0.174903709416E-01
0.234900           3.54926405          180.401664         0.196742312660E-01
0.235050           3.90489034          180.607892         0.216208178635E-01
0.235200           4.20250584          180.812825         0.232422995608E-01
0.235350           4.44250553          181.016460         0.245419976733E-01
0.235500           4.63961050          181.218793         0.256022591959E-01
0.235650           4.81790794          181.419821         0.265566788762E-01
0.235800           5.00403109          181.619542         0.275522723391E-01
0.235950           5.21982417          181.817952         0.287090692135E-01
0.236100           5.47594001          182.015048         0.300850948990E-01
0.236250           5.76765554          182.210828         0.316537474780E-01
0.236400           6.07378967          182.405288         0.332983201191E-01
0.236550           6.35903955          182.598425         0.348252705378E-01
0.236700           6.57941790          182.790237         0.359943617187E-01
0.236850           6.68988829          182.980720         0.365606184448E-01
0.237000           6.65286507          183.169872         0.363207387285E-01
0.237150           6.44604800          183.357690         0.351555911570E-01
0.237300           6.06813768          183.544172         0.330609118232E-01
0.237450           5.54131577          183.729314         0.301602158894E-01
0.237600           4.90991615          183.913114         0.266969334083E-01
0.237750           4.23536616          184.095569         0.230063449762E-01
0.237900           3.58812571          184.276676         0.194714045239E-01
0.238050           3.03788232          184.456434         0.164693757611E-01
0.238200           2.64357844          184.634839         0.143178744512E-01
0.238350           2.44489605          184.811888         0.132291059371E-01
0.238500           2.45659428          184.987580         0.132797795077E-01
0.238650           2.66662707          185.161913         0.144015960220E-01
0.238800           3.03834179          185.334874         0.163937942232E-01
0.238950           3.51638455          185.506507         0.189555860475E-01
0.239100           4.03533088          185.676813         0.217330899441E-01
0.239250           4.52962489          185.846677         0.243729129920E-01
0.239400           4.94321947          186.014039         0.265744429095E-01
0.239550           5.23739403          186.180168         0.281307836563E-01
0.239700           5.39556488          186.344904         0.289547219755E-01
0.239850           5.42443405          186.508259         0.290841492333E-01
0.240000           5.35144914          186.670235         0.286679294848E-01
0.240150           5.21915754          186.830828         0.279352053943E-01
0.240300           5.07752936          186.990035         0.271540104470E-01
0.240450           4.97561031          187.147855         0.265865206158E-01
0.240600           4.95390697          187.304286         0.264484442981E-01
0.240750           5.03870224          187.459326         0.268789094513E-01
0.240900           5.23909431          187.612972         0.279250109970E-01
0.241050           5.54702912          187.765223         0.295423669022E-01
0.241200           5.94005193          187.916077         0.316101315249E-01
0.241350           6.38604013          188.065533         0.339564620706E-01
0.241500           6.84887804          188.213587         0.363888609016E-01
0.241650           7.29394476          188.360239         0.387233781780E-01
0.241800           7.69241697          188.505486         0.408073904200E-01
0.241950           8.02370557          188.649327         0.425323836172E-01
0.242100           8.27578032          188.791761         0.438354951461E-01
0.242250           8.44360066          188.932785         0.446910295309E-01
0.242400           8.52627011          189.072397         0.450952663465E-01
0.242550           8.52378811          189.210597         0.450492109991E-01
0.242700           8.43433623          189.347382         0.445442451552E-01
0.242850           8.25289528          189.482752         0.435548629000E-01
0.243000           7.97167477          189.616704         0.420409943011E-01
0.243150           7.58241055          189.749237         0.399601635905E-01
0.243300           7.08013734          189.880350         0.372873620113E-01
0.243450           6.46766021          190.010041         0.340385181062E-01
0.243600           5.75971443          190.138308         0.302922356074E-01
0.243750           4.98576659          190.265151         0.262043077999E-01
0.243900           4.19058660          190.390569         0.220104736646E-01
0.244050           3.43208299          190.514559         0.180148068939E-01
0.244200           2.77637933          190.637120         0.145636868815E-01
0.244350           2.29063018          190.758252         0.120080266686E-01
0.244500           2.03453387          190.877954         0.106588206445E-01
0.244650           2.05180954          190.996223         0.107426707473E-01
0.244800           2.36300534          191.113059         0.123644367765E-01
0.244950           2.96086928          191.228461         0.154834131754E-01
0.245100           3.80916088          191.342428         0.199075600731E-01
0.245250           4.84526796          191.454958         0.253076127960E-01
0.245400           5.98640345          191.566052         0.312498137989E-01
0.245550           7.13859291          191.675707         0.372430759675E-01
0.245700           8.20721945          191.783923         0.427940952410E-01
0.245850           9.10764509          191.890699         0.474626709566E-01
0.246000           9.77441686          191.996034         0.509094728299E-01
0.246150           10.1677932          192.099927         0.529297088629E-01
0.246300           10.2767504          192.202378         0.534683831355E-01
0.246450           10.1181775          192.303385         0.526157012302E-01
0.246600           9.73254909          192.402949         0.505841992505E-01
0.246750           9.17688049          192.501068         0.476718420478E-01
0.246900           8.51613913          192.597741         0.442172326905E-01
0.247050           7.81445492          192.692968         0.405539183955E-01
0.247200           7.12741797          192.786749         0.369704764251E-01
0.247350           6.49649973          192.879083         0.336817223927E-01
0.247500           5.94623054          192.969969         0.308142793876E-01
0.247650           5.48429083          193.059407         0.284072706991E-01
0.247800           5.10420658          193.147396         0.264264840627E-01
0.247950           4.78995944          193.233936         0.247883965867E-01
0.248100           4.52158463          193.319027         0.233892375226E-01
0.248250           4.28076335          193.402667         0.221339416100E-01
0.248400           4.05551701          193.484858         0.209603844636E-01
0.248550           3.84334554          193.565598         0.198555197071E-01
0.248700           3.65246694          193.644887         0.188616750931E-01
0.248850           3.50114792          193.722725         0.180729851285E-01
0.249000           3.41540562          193.799112         0.176234328075E-01
0.249150           3.42556264          193.874047         0.176690108342E-01
0.249300           3.56222948          193.947530         0.183669752042E-01
0.249450           3.85227003          194.019562         0.198550598573E-01
0.249600           4.31520096          194.090149         0.222329726000E-01
0.249750           4.96032335          194.159238         0.255477071455E-01
0.249900           5.78472655          194.227232         0.297832929094E-01
0.250050           6.77218006          194.293461         0.348554192597E-01
0.250200           7.89286248          194.358233         0.406098694289E-01
0.250350           9.10387249          194.421542         0.468254310314E-01
0.250500           10.3505119          194.483401         0.532205413139E-01
0.250650           11.5683948          194.543809         0.594642143747E-01
0.250800           12.6864829          194.602765         0.651916886751E-01
0.250950           13.6311413          194.660271         0.700252867094E-01
0.251100           14.3312264          194.716325         0.736005386919E-01
0.251250           14.7240619          194.770929         0.755968152286E-01
0.251400           14.7619385          194.824082         0.757706045685E-01
0.251550           14.4185421          194.875785         0.739883721431E-01
0.251700           13.6945147          194.926039         0.702549275614E-01
0.251850           12.6212449          194.974843         0.647326838340E-01
0.252000           11.2620175          195.022199         0.577473617743E-01
0.252150           9.70984584          195.068106         0.497766962541E-01
0.252300           8.08166319          195.112565         0.414205164671E-01
0.252450           6.50902606          195.155576         0.333530109197E-01
0.252600           5.12601625          195.197141         0.262607138103E-01
0.252750           4.05553252          195.237259         0.207723287251E-01
0.252900           3.39555118          195.275931         0.173884777049E-01
0.253050           3.20712505          195.313159         0.164204248529E-01
0.253200           3.50583080          195.348942         0.179465052190E-01
0.253350           4.25804997          195.383281         0.217933180081E-01
0.253500           5.38290809          195.416177         0.275458673673E-01
0.253650           6.75996982          195.447631         0.345871157252E-01
0.253800           8.24199797          195.477643         0.421633791818E-01
0.253950           9.67135040          195.506214         0.494682505958E-01
0.254100           10.8980271          195.533346         0.557348774177E-01
0.254250           11.7970846          195.559038         0.603249262978E-01
0.254400           12.2831616          195.583293         0.628027137714E-01
0.254550           12.3202114          195.606110         0.629847981973E-01
0.254700           11.9251731          195.627491         0.609585749284E-01
0.254850           11.1651347          195.647437         0.570676257969E-01
0.255000           10.1484332          195.665948         0.518661183058E-01
0.255150           9.01095764          195.683027         0.460487442292E-01
0.255300           7.89955297          195.698673         0.403658995709E-01
0.255450           6.95476749          195.712888         0.355355621369E-01
0.255600           6.29519861          195.725673         0.321633769868E-01
0.255750           6.00537707          195.737030         0.306808429608E-01
0.255900           6.12854337          195.746959         0.313084985157E-01
0.256050           6.66491312          195.755462         0.340471375202E-01
0.256200           7.57522249          195.762539         0.386959758205E-01
0.256350           8.78861874          195.768193         0.448929859132E-01
0.256500           10.2134237          195.772425         0.521698787934E-01
0.256650           11.7490234          195.775235         0.600128174612E-01
0.256800           13.2971555          195.776625         0.679200361502E-01
0.256950           14.7711485          195.776597         0.754490002350E-01
0.257100           16.1021611          195.775152         0.822482367260E-01
0.257250           17.2420572          195.772292         0.880719996598E-01
0.257400           18.1631509          195.768017         0.927789491815E-01
0.257550           18.8555329          195.762330         0.963184946286E-01
0.257700           19.3229960          195.755232         0.987099850320E-01
0.257850           19.5786505          195.746724         0.100020322776    
0.258000           19.6411801          195.736809         0.100344846849    
0.258150           19.5323680          195.725487         0.997947090276E-01
0.258300           19.2761089          195.712760         0.984918352441E-01
0.258450           18.8986933          195.698631         0.965703908038E-01
0.258600           18.4298073          195.683100         0.941819058674E-01
0.258750           17.9034981          195.666170         0.915002228176E-01
0.258900           17.3583444          195.647841         0.887223916148E-01
0.259050           16.8362560          195.628117         0.860625572775E-01
0.259200           16.3796520          195.606998         0.837375561081E-01
0.259350           16.0271734          195.584487         0.819450130270E-01
0.259500           15.8084876          195.560586         0.808367776342E-01
0.259650           15.7390504          195.535296         0.804921197522E-01
0.259800           15.8158418          195.508618         0.808958803423E-01
0.259950           16.0150471          195.480557         0.819265476738E-01
0.260100           16.2924136          195.451112         0.833579989408E-01
0.260250           16.5866103          195.420286         0.848766042316E-01
0.260400           16.8254306          195.388081         0.861128813541E-01
0.260550           16.9341797          195.354499         0.866843598367E-01
0.260700           16.8451811          195.319543         0.862442173038E-01
0.260850           16.5070905          195.283214         0.845289781120E-01
0.261000           15.8926643          195.245514         0.813983584108E-01
0.261150           15.0038141          195.206446         0.768612635431E-01
0.261300           13.8731526          195.166011         0.710838557418E-01
0.261450           12.5617460          195.124212         0.643782025673E-01
