# ort(start) =    -8.1790
#   klo  khi step start
#%    4   89    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.680000           2.62137388          54.1628031         0.483980468746E-01
0.680480           2.66897207          54.5224659         0.489517857018E-01
0.680960           2.67468863          54.8826890         0.487346498781E-01
0.681440           2.62955499          55.2434545         0.475993945225E-01
0.681920           2.52838385          55.6047448         0.454706493500E-01
0.682400           2.37101024          55.9665420         0.423647800663E-01
0.682880           2.16310474          56.3288280         0.384013801133E-01
0.683360           1.91633220          56.6915848         0.338027628317E-01
0.683840           1.64768257          57.0547941         0.288789504938E-01
0.684320           1.37790927          57.4184376         0.239976795861E-01
0.684800           1.12916621          57.7824976         0.195416649536E-01
0.685280          0.922113350          58.1469630         0.158583235188E-01
0.685760          0.772922947          58.5118740         0.132096768354E-01
0.686240          0.690721351          58.8774695         0.117315053947E-01
0.686720          0.676003651          59.2430115         0.114106902018E-01
0.687200          0.720439486          59.6088693         0.120861122653E-01
0.687680          0.808254016          59.9750299         0.134765087575E-01
0.688160          0.919055436          60.3414740         0.152309079458E-01
0.688640           1.03165389          60.7081821         0.169936547562E-01
0.689120           1.12815378          61.0751349         0.184715725113E-01
0.689600           1.19747515          61.4423128         0.194894217941E-01
0.690080           1.23751705          61.8096963         0.200214063424E-01
0.690560           1.25542353          62.1772656         0.201910379953E-01
0.691040           1.26580899          62.5450010         0.202383719586E-01
0.691520           1.28726099          62.9128826         0.204610079229E-01
0.692000           1.33785772          63.2808904         0.211415755203E-01
0.692480           1.43070684          63.6490045         0.224780709496E-01
0.692960           1.57055530          64.0172047         0.245333314553E-01
0.693440           1.75231120          64.3854707         0.272159413571E-01
0.693920           1.96189357          64.7537824         0.302977447903E-01
0.694400           2.17927971          65.1221194         0.334645084205E-01
0.694880           2.38307988          65.4904612         0.363881981970E-01
0.695360           2.55557250          65.8587873         0.388038195451E-01
0.695840           2.68698227          66.2270772         0.405722612042E-01
0.696320           2.77792755          66.5953102         0.417135611639E-01
0.696800           2.83937482          66.9634657         0.424018498942E-01
0.697280           2.89002475          67.3315228         0.429223137615E-01
0.697760           2.95167369          67.6994607         0.435996632583E-01
0.698240           3.04359680          68.0672585         0.447145494131E-01
0.698720           3.17725681          68.4348954         0.464274372496E-01
0.699200           3.35259193          68.8023502         0.487278692861E-01
0.699680           3.55678647          69.1696020         0.514212366028E-01
0.700160           3.76586479          69.5366295         0.541565619588E-01
0.700640           3.94880834          69.9034118         0.564894937452E-01
0.701120           4.07333240          70.2699274         0.579669362148E-01
0.701600           4.11210379          70.6361553         0.582152831783E-01
0.702080           4.04811136          71.0020741         0.570139873787E-01
0.702560           3.87812085          71.3676625         0.543400290069E-01
0.703040           3.61358897          71.7328991         0.503756159013E-01
0.703520           3.27896279          72.0977625         0.454793974081E-01
0.704000           2.90781543          72.4622313         0.401287039082E-01
0.704480           2.53765255          72.8262840         0.348452840001E-01
0.704960           2.20439637          73.1898991         0.301188605788E-01
0.705440           1.93750321          73.5530551         0.263415735691E-01
0.705920           1.75644262          73.9157304         0.237627715979E-01
0.706400           1.66893910          74.2779034         0.224688503582E-01
0.706880           1.67104202          74.6395526         0.223881569747E-01
0.707360           1.74881510          75.0006564         0.233173306136E-01
0.707840           1.88126103          75.3611930         0.249632596634E-01
0.708320           2.04401692          75.7211410         0.269940058105E-01
0.708800           2.21334198          76.0804786         0.290921143196E-01
0.709280           2.36993195          76.4391842         0.310041502084E-01
0.709760           2.50210856          76.7972361         0.325807110480E-01
0.710240           2.60794636          77.1546127         0.338015611530E-01
0.710720           2.69593948          77.5112922         0.347812480041E-01
0.711200           2.78391829          77.8672530         0.357521060451E-01
0.711680           2.89613323          78.2224735         0.370243115390E-01
0.712160           3.05873335          78.5769319         0.389266070386E-01
0.712640           3.29423849          78.9306067         0.417358820369E-01
0.713120           3.61595081          79.2834762         0.456078742285E-01
0.713600           4.02346417          79.6355187         0.505234879418E-01
0.714080           4.50040691          79.9867127         0.562644313844E-01
0.714560           5.01524045          80.3370365         0.624275013476E-01
0.715040           5.52535298          80.6864685         0.684793011537E-01
0.715520           5.98393958          81.0349873         0.738439010428E-01
0.716000           6.34842245          81.3825712         0.780071501007E-01
0.716480           6.58863773          81.7291988         0.806154694802E-01
0.716960           6.69287431          82.0748486         0.815459842250E-01
0.717440           6.67018261          82.4194991         0.809296668728E-01
0.717920           6.54814849          82.7631290         0.791191509359E-01
0.718400           6.36638902          83.1057168         0.766059095221E-01
0.718880           6.16711929          83.4472411         0.739044119600E-01
0.719360           5.98497374          83.7876808         0.714302351031E-01
0.719840           5.83859646          84.1270146         0.694021592859E-01
0.720320           5.72621549          84.4652211         0.677937666728E-01
0.720800           5.62652002          84.8022793         0.663486884919E-01
0.721280           5.50486553          85.1381681         0.646580218250E-01
0.721760           5.32346003          85.4728664         0.622824559175E-01
0.722240           5.05309373          85.8063531         0.588895058023E-01
0.722720           4.68346794          86.1386073         0.543712986075E-01
0.723200           4.22941450          86.4696082         0.489121505846E-01
0.723680           3.73124105          86.7993348         0.429869775006E-01
0.724160           3.24886394          87.1277665         0.372885025094E-01
0.724640           2.85093631          87.4548825         0.325989381599E-01
0.725120           2.60144260          87.7806621         0.296357140502E-01
0.725600           2.54687639          88.1050848         0.289072576408E-01
0.726080           2.70697446          88.4281302         0.306121418099E-01
0.726560           3.07108440          88.7497777         0.346038545228E-01
0.727040           3.60083478          89.0700070         0.404270180499E-01
0.727520           4.23823411          89.3887980         0.474134814469E-01
0.728000           4.91705362          89.7061303         0.548129052414E-01
0.728480           5.57467847          90.0219838         0.619257456168E-01
0.728960           6.16169680          90.3363387         0.682083964124E-01
0.729440           6.64728110          90.6491748         0.733297474857E-01
0.729920           7.01965574          90.9604725         0.771725953607E-01
0.730400           7.28227410          91.2702119         0.797880705480E-01
0.730880           7.44737841          91.5783733         0.813224579067E-01
0.731360           7.52910994          91.8849373         0.819406331306E-01
0.731840           7.53817855          92.1898844         0.817679574964E-01
0.732320           7.47938318          92.4931951         0.808641453966E-01
0.732800           7.35225512          92.7948503         0.792312838107E-01
0.733280           7.15410243          93.0948308         0.768474723488E-01
0.733760           6.88406797          93.3931175         0.737106561233E-01
0.734240           6.54665446          93.6896915         0.698759314302E-01
0.734720           6.15352673          93.9845340         0.654738229295E-01
0.735200           5.72311495          94.2776262         0.607049114318E-01
0.735680           5.27834798          94.5689496         0.558148102804E-01
0.736160           4.84346046          94.8584856         0.510598543272E-01
0.736640           4.44103692          95.1462159         0.466759174768E-01
