# ort(start) =    -8.1790
#   klo  khi step start
#%    4   90    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.500000           1.28770998          66.9990335         0.192198291798E-01
0.500500           1.24716606          67.5124214         0.184731347927E-01
0.501000           1.30257007          68.0263818         0.191480134504E-01
0.501500           1.45436458          68.5408753         0.212189379727E-01
0.502000           1.69042963          69.0558619         0.244791619481E-01
0.502500           1.98712172          69.5713017         0.285623765666E-01
0.503000           2.31335712          70.0871544         0.330068632809E-01
0.503500           2.63682248          70.6033796         0.373469725148E-01
0.504000           2.93075907          71.1199365         0.412086850890E-01
0.504500           3.17954487          71.6367841         0.443842490969E-01
0.505000           3.38156158          72.1538815         0.468659690530E-01
0.505500           3.54851793          72.6711871         0.488297779885E-01
0.506000           3.70132273          73.1886595         0.505723530206E-01
0.506500           3.86350960          73.7062570         0.524176610733E-01
0.507000           4.05386575          74.2239376         0.546166894157E-01
0.507500           4.28013299          74.7416593         0.572656939941E-01
0.508000           4.53537918          75.2593798         0.602633079332E-01
0.508500           4.79795976          75.7770566         0.633167870972E-01
0.509000           5.03508977          76.2946472         0.659953215506E-01
0.509500           5.20916574          76.8121088         0.678169864088E-01
0.510000           5.28534004          77.3293986         0.683483919529E-01
0.510500           5.23860853          77.8464734         0.672941020850E-01
0.511000           5.05886441          78.3632902         0.645565595254E-01
0.511500           4.75292249          78.8798056         0.602552511128E-01
0.512000           4.34326392          79.3959762         0.547038291050E-01
0.512500           3.86399221          79.9117586         0.483532371453E-01
0.513000           3.35504587          80.4271089         0.417153608497E-01
0.513500           2.85596417          80.9419836         0.352840892251E-01
0.514000           2.40042746          81.4563388         0.294688847801E-01
0.514500           2.01245184          81.9701305         0.245510386268E-01
0.515000           1.70463498          82.4833148         0.206664217908E-01
0.515500           1.47836790          82.9958476         0.178125525572E-01
0.516000           1.32556872          83.5076847         0.158736136301E-01
0.516500           1.23132668          84.0187819         0.146553741513E-01
0.517000           1.17687118          84.5290950         0.139226757765E-01
0.517500           1.14244485          85.0385797         0.134344300224E-01
0.518000           1.10987245          85.5471916         0.129738034400E-01
0.518500           1.06478722          86.0548863         0.123733499572E-01
0.519000          0.998539974          86.5616194         0.115355971967E-01
0.519500          0.909759009          87.0673466         0.104489116219E-01
0.520000          0.805387309          87.5720233         0.919685624493E-02
0.520500          0.700872397          88.0756051         0.795762226769E-02
0.521000          0.619113134          88.5780477         0.698946466033E-02
0.521500          0.587847634          89.0793065         0.659914919297E-02
0.522000          0.635425096          89.5793371         0.709343377389E-02
0.522500          0.785309178          90.0780952         0.871809263205E-02
0.523000           1.05012009          90.5755364         0.115938600286E-01
0.523500           1.42640559          91.0716163         0.156624604123E-01
0.524000           1.89149944          91.5662907         0.206571591938E-01
0.524500           2.40367557          92.0595154         0.261100176613E-01
0.525000           2.90630248          92.5512461         0.314020890904E-01
0.525500           3.33590578          93.0414388         0.358539788807E-01
0.526000           3.63310727          93.5300493         0.388442783587E-01
0.526500           3.75454602          94.0170339         0.399347423337E-01
0.527000           3.68333649          94.5023485         0.389761371519E-01
0.527500           3.43557182          94.9859493         0.361692633539E-01
0.528000           3.06092709          95.4677928         0.320624055923E-01
0.528500           2.63650501          95.9478353         0.274785251617E-01
0.529000           2.25449431          96.4260334         0.233805563493E-01
0.529500           2.00566831          96.9023437         0.206978307906E-01
0.530000           1.96187848          97.3767230         0.201473044569E-01
0.530500           2.16118729          97.8491282         0.220869345146E-01
0.531000           2.59895747          98.3195163         0.264337902053E-01
0.531500           3.22708743          98.7878446         0.326668472330E-01
0.532000           3.96187574          99.2540704         0.399165064139E-01
0.532500           4.69909687          99.7181513         0.471237864547E-01
0.533000           5.33323202          100.180045         0.532364706627E-01
0.533500           5.77683677          100.639709         0.574011672953E-01
0.534000           5.97599728          101.097102         0.591114599911E-01
0.534500           5.91875337          101.552181         0.582828778097E-01
0.535000           5.63502620          102.004906         0.552426978565E-01
0.535500           5.18856242          102.455235         0.506422383954E-01
0.536000           4.66319132          102.903126         0.453163231993E-01
0.536500           4.14683379          103.348539         0.401247451800E-01
0.537000           3.71692373          103.791433         0.358114694507E-01
0.537500           3.43018115          104.231767         0.329091719416E-01
0.538000           3.31824892          104.669509         0.317021541466E-01
0.538500           3.38900069          105.105109         0.322439196038E-01
0.539000           3.63184241          105.537803         0.344127155481E-01
0.539500           4.02448360          105.967491         0.379784740655E-01
0.540000           4.53866241          106.394421         0.426588382134E-01
0.540500           5.14312638          106.818555         0.481482491107E-01
0.541000           5.80350264          107.239851         0.541170335462E-01
0.541500           6.48008606          107.658273         0.601912501512E-01
0.542000           7.12556341          108.073782         0.659323960906E-01
0.542500           7.68493487          108.486340         0.708378113163E-01
0.543000           8.09928778          108.895909         0.743764194206E-01
0.543500           8.31378848          109.302452         0.760622323318E-01
0.544000           8.28867978          109.705932         0.755536154804E-01
0.544500           8.01070471          110.106312         0.727542733619E-01
0.545000           7.50167763          110.503556         0.678863008719E-01
0.545500           6.82116440          110.897627         0.615086594364E-01
0.546000           6.06141255          111.288491         0.544657627200E-01
0.546500           5.33451132          111.676111         0.477677030034E-01
0.547000           4.75377552          112.060453         0.424215268332E-01
0.547500           4.41298693          112.441482         0.392469653859E-01
0.548000           4.36792945          112.819162         0.387162017706E-01
0.548500           4.62437793          113.193461         0.408537549739E-01
0.549000           5.13539161          113.564345         0.452201050944E-01
0.549500           5.80873919          113.931780         0.509843628329E-01
0.550000           6.52304818          114.295733         0.570716686589E-01
0.550500           7.14937372          114.656171         0.623548967141E-01
0.551000           7.57377188          115.013064         0.658514054660E-01
0.551500           7.71637617          115.366377         0.668858323439E-01
0.552000           7.54338926          115.716081         0.651887721571E-01
0.552500           7.07005030          116.062144         0.609160750211E-01
0.553000           6.35460129          116.404536         0.545906672819E-01
0.553500           5.48509244          116.743226         0.469842460504E-01
0.554000           4.56215119          117.078184         0.389667062098E-01
0.554500           3.68136670          117.409381         0.313549622491E-01
0.555000           2.91867647          117.736787         0.247898429758E-01
0.555500           2.32122647          118.060375         0.196613509418E-01
0.556000           1.90486780          118.380116         0.160911127515E-01
0.556500           1.65805284          118.695982         0.139689045306E-01
0.557000           1.55067546          119.007946         0.130300161520E-01
0.557500           1.54556260          119.315981         0.129535254861E-01
0.558000           1.60997430          119.620060         0.134590661821E-01
0.558500           1.72461916          119.920158         0.143813950286E-01
0.559000           1.88828494          120.216248         0.157074020563E-01
0.559500           2.11710728          120.508306         0.175681441144E-01
0.560000           2.43860315          120.796306         0.201877294136E-01
0.560500           2.88170539          121.080226         0.237999671457E-01
0.561000           3.46495986          121.360040         0.285510771719E-01
0.561500           4.18560314          121.635725         0.344109687968E-01
0.562000           5.01227986          121.907259         0.411155160661E-01
0.562500           5.88361081          122.174619         0.481573903121E-01
0.563000           6.71372725          122.437783         0.548337865256E-01
0.563500           7.40441298          122.696730         0.603472725001E-01
0.564000           7.86193200          122.951438         0.639433921615E-01
0.564500           8.01532467          123.201887         0.650584569975E-01
0.565000           7.83227119          123.448057         0.634458846073E-01
0.565500           7.32878873          123.689929         0.592512973429E-01
0.566000           6.57009584          123.927482         0.530156485071E-01
0.566500           5.66177265          124.160699         0.456003604641E-01
0.567000           4.73248704          124.389562         0.380456926379E-01
0.567500           3.91153998          124.614052         0.313892367182E-01
0.568000           3.30580555          124.834153         0.264815795291E-01
0.568500           2.98093440          125.049848         0.238379690477E-01
0.569000           2.95083392          125.261120         0.235574607468E-01
0.569500           3.17760657          125.467955         0.253260410488E-01
0.570000           3.58175344          125.670336         0.285011846157E-01
0.570500           4.06012061          125.868249         0.322569087133E-01
0.571000           4.50736704          126.061680         0.357552513476E-01
0.571500           4.83609117          126.250615         0.383054861432E-01
0.572000           4.99131641          126.435041         0.394773187911E-01
0.572500           4.95663118          126.614945         0.391472838780E-01
0.573000           4.75146328          126.790315         0.374749703088E-01
0.573500           4.42114889          126.961139         0.348228514790E-01
0.574000           4.02306230          127.127406         0.316459087696E-01
0.574500           3.61270614          127.289106         0.283818958583E-01
0.575000           3.23321301          127.446228         0.253692327728E-01
0.575500           2.91037079          127.598762         0.228087698519E-01
0.576000           2.65348927          127.746699         0.207714898911E-01
0.576500           2.46071471          127.890031         0.192408641059E-01
0.577000           2.32625789          128.028749         0.181698088051E-01
0.577500           2.24672334          128.162846         0.175302234862E-01
0.578000           2.22433546          128.292315         0.173380258198E-01
0.578500           2.26611136          128.417148         0.176464856178E-01
0.579000           2.37950604          128.537340         0.185121773626E-01
0.579500           2.56628804          128.652885         0.199473803972E-01
0.580000           2.81701722          128.763778         0.218774041533E-01
0.580500           3.10832608          128.870015         0.241198551226E-01
0.581000           3.40432808          128.971590         0.263959534052E-01
0.581500           3.66218136          129.068501         0.283739357722E-01
0.582000           3.84053061          129.160745         0.297345035320E-01
0.582500           3.90862776          129.248318         0.302412273470E-01
0.583000           3.85366072          129.331218         0.297968332454E-01
0.583500           3.68426357          129.409435         0.284698218853E-01
0.584000           3.42919345          129.482978         0.264837394576E-01
0.584500           3.13143593          129.551845         0.241712954548E-01
0.585000           2.83917478          129.616036         0.219045023880E-01
0.585500           2.59581937          129.675552         0.200178007321E-01
0.586000           2.43144002          129.730394         0.187422542661E-01
0.586500           2.35751741          129.780562         0.181654123159E-01
0.587000           2.36602377          129.826058         0.182245675758E-01
0.587500           2.43278732          129.866886         0.187329302877E-01
0.588000           2.52412938          129.903047         0.194308711889E-01
0.588500           2.60513102          129.934546         0.200495642675E-01
0.589000           2.64769233          129.961385         0.203729156172E-01
0.589500           2.63677509          129.983570         0.202854491496E-01
0.590000           2.57374982          130.001104         0.197979073770E-01
0.590500           2.47642911          130.013994         0.190474043915E-01
0.591000           2.37599773          130.022244         0.182737787752E-01
0.591500           2.31152994          130.025862         0.177774629280E-01
0.592000           2.32307142          130.024853         0.178663645052E-01
0.592500           2.44436877          130.019225         0.188000564035E-01
0.593000           2.69630225          130.008986         0.207393529382E-01
0.593500           3.08196243          129.994144         0.237084713915E-01
0.594000           3.58413384          129.974706         0.275756257068E-01
0.594500           4.16570531          129.950682         0.320560479440E-01
0.595000           4.77320128          129.922082         0.367389530216E-01
0.595500           5.34321508          129.888916         0.411368055492E-01
0.596000           5.81105198          129.851193         0.447516256021E-01
0.596500           6.12042957          129.808925         0.471495281641E-01
0.597000           6.23273824          129.762123         0.480320305026E-01
0.597500           6.13424732          129.710798         0.472917244649E-01
0.598000           5.83982698          129.654963         0.450412914657E-01
0.598500           5.39225534          129.594630         0.416086324834E-01
0.599000           4.85692373          129.529813         0.374965703705E-01
0.599500           4.31259970          129.460524         0.333120829446E-01
0.600000           3.83967749          129.386777         0.296759651740E-01
0.600500           3.50786679          129.308588         0.271278718684E-01
0.601000           3.36542387          129.225969         0.260429376571E-01
0.601500           3.43178090          129.138938         0.265743311200E-01
0.602000           3.69483585          129.047509         0.286315938129E-01
0.602500           4.11335500          128.951697         0.318984168795E-01
0.603000           4.62407736          128.851521         0.358868668360E-01
0.603500           5.15235045          128.746995         0.400191899571E-01
0.604000           5.62458661          128.638138         0.437240985373E-01
0.604500           5.98056760          128.524966         0.465323412672E-01
0.605000           6.18364956          128.407499         0.481564520588E-01
0.605500           6.22720289          128.285753         0.485416558902E-01
0.606000           6.13611855          128.159749         0.478786718939E-01
0.606500           5.96287940          128.029504         0.465742600424E-01
0.607000           5.77848283          127.895038         0.451814465100E-01
0.607500           5.65934400          127.756372         0.442979392345E-01
0.608000           5.67210901          127.613525         0.444475537197E-01
0.608500           5.85892721          127.466518         0.459644407080E-01
0.609000           6.22601021          127.315372         0.489022663139E-01
0.609500           6.73809344          127.160107         0.529890511565E-01
0.610000           7.32063345          127.000747         0.576424440906E-01
0.610500           7.87025893          126.837312         0.620500293683E-01
0.611000           8.27233202          126.669825         0.653062560943E-01
0.611500           8.42279493          126.498308         0.665842495003E-01
0.612000           8.25017666          126.322785         0.653102813744E-01
0.612500           7.73309987          126.143279         0.613040973771E-01
0.613000           6.90910649          125.959813         0.548516729952E-01
0.613500           5.87213594          125.772412         0.466885849983E-01
0.614000           4.75829342          125.581099         0.378902037144E-01
0.614500           3.72215308          125.385899         0.296855794801E-01
0.615000           2.90813277          125.186837         0.232303398250E-01
0.615500           2.42285751          124.983939         0.193853509480E-01
0.616000           2.31448724          124.777229         0.185489553481E-01
0.616500           2.56362719          124.566733         0.205803518713E-01
0.617000           3.08793175          124.352477         0.248320887377E-01
0.617500           3.75943529          124.134488         0.302851796772E-01
0.618000           4.43074569          123.912793         0.357569673239E-01
0.618500           4.96424409          123.687417         0.401354009388E-01
0.619000           5.25785305          123.458389         0.425880581722E-01
0.619500           5.26190922          123.225735         0.427013822096E-01
0.620000           4.98394519          122.989484         0.405233443116E-01
0.620500           4.48115294          122.749662         0.365064380448E-01
0.621000           3.84319683          122.506299         0.313714222484E-01
0.621500           3.17013563          122.259422         0.259295812560E-01
0.622000           2.55099900          122.009061         0.209082749984E-01
0.622500           2.04791149          121.755244         0.168199038546E-01
0.623000           1.68881783          121.497999         0.138999641364E-01
0.623500           1.46939757          121.237358         0.121200065728E-01
0.624000           1.36235864          120.973348         0.112616429147E-01
0.624500           1.33060275          120.705999         0.110235013944E-01
0.625000           1.34015891          120.435343         0.111276214765E-01
0.625500           1.36935346          120.161408         0.113959505305E-01
0.626000           1.41216444          119.884225         0.117794016683E-01
0.626500           1.47560282          119.603825         0.123374217345E-01
0.627000           1.57270649          119.320238         0.131805510800E-01
0.627500           1.71384907          119.033495         0.143980404425E-01
0.628000           1.89930183          118.743627         0.159949790795E-01
0.628500           2.11536057          118.450666         0.178585790178E-01
0.629000           2.33512498          118.154642         0.197632943767E-01
0.629500           2.52359918          117.855588         0.214126391068E-01
0.630000           2.64558867          117.553535         0.225053944647E-01
0.630500           2.67420630          117.248501         0.228080211514E-01
0.631000           2.59779080          116.939894         0.222147524605E-01
0.631500           2.42360715          116.629090         0.207804687000E-01
0.632000           2.17761197          116.315362         0.187216195911E-01
0.632500           1.90053905          115.998794         0.163841276098E-01
0.633000           1.64133145          115.679421         0.141886209426E-01
0.633500           1.44935992          115.357275         0.125640964153E-01
0.634000           1.36689440          115.032389         0.118826915726E-01
0.634500           1.42301914          114.704796         0.124059253721E-01
0.635000           1.62974583          114.374529         0.142492025749E-01
0.635500           1.98062804          114.041621         0.173675893414E-01
0.636000           2.45181239          113.706106         0.215627153314E-01
0.636500           3.00520927          113.368016         0.265084400907E-01
