# ort(start) =    -8.1790
#   klo  khi step start
#%    4  246    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.180000           3.33702513          159.449337         0.209284353423E-01
0.180180           2.76048541          159.921760         0.172614746702E-01
0.180360           2.41609711          160.392839         0.150636220784E-01
0.180540           2.25226931          160.862559         0.140012027809E-01
0.180720           2.19250226          161.330905         0.135900946027E-01
0.180900           2.15677358          161.797862         0.133300499599E-01
0.181080           2.08222283          162.263415         0.128323616871E-01
0.181260           1.93810451          162.727550         0.119101191000E-01
0.181440           1.73151635          163.190252         0.106104153294E-01
0.181620           1.50266443          163.651507         0.918209960793E-02
0.181800           1.31094548          164.111298         0.798814885087E-02
0.181980           1.21541304          164.569614         0.738540373024E-02
0.182160           1.25475632          165.026437         0.760336548686E-02
0.182340           1.43235476          165.481756         0.865566573376E-02
0.182520           1.71105261          165.935554         0.103115491320E-01
0.182700           2.02008276          166.387818         0.121408092991E-01
0.182880           2.27345203          166.838533         0.136266603843E-01
0.183060           2.39578861          167.287686         0.143213686078E-01
0.183240           2.34903261          167.735260         0.140044055321E-01
0.183420           2.15226108          168.181234         0.127972724941E-01
0.183600           1.88790550          168.625621         0.111958401392E-01
0.183780           1.69063705          169.071988         0.999951007021E-02
0.183960           1.71964719          169.513659         0.101445936289E-01
0.184140           2.11980793          169.953208         0.124728915230E-01
0.184320           2.98090489          170.391020         0.174944952809E-01
0.184500           4.30560796          170.827150         0.252044711006E-01
0.184680           5.99544733          171.261592         0.350075416281E-01
0.184860           7.85996560          171.694335         0.457788290712E-01
0.185040           9.64840879          172.125363         0.560545443732E-01
0.185220           11.0973619          172.554664         0.643121529069E-01
0.185400           11.9833229          172.982224         0.692748804939E-01
0.185580           12.1676548          173.408031         0.701677693721E-01
0.185760           11.6231756          173.832072         0.668643908139E-01
0.185940           10.4363730          174.254332         0.598916129431E-01
0.186120           8.78553198          174.674800         0.502965052412E-01
0.186300           6.90114560          175.093462         0.394140679431E-01
0.186480           5.01911377          175.510306         0.285972595985E-01
