# ort(start) =    -8.1790
#   klo  khi step start
#%    4  337    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.100000           1.65853129          156.211970         0.106171844284E-01
0.100200           1.57647027          157.145067         0.100319424132E-01
0.100400           1.27915609          158.077218         0.809196988500E-02
0.100600           1.11471534          159.008347         0.701042032868E-02
0.100800           1.43962967          159.938491         0.900114575607E-02
0.101000           2.34743233          160.867449         0.145923389335E-01
0.101200           3.56279926          161.795225         0.220204227270E-01
0.101400           4.58784059          162.721763         0.281943884558E-01
0.101600           5.00119279          163.647003         0.305608578331E-01
0.101800           4.70142479          164.570887         0.285677793206E-01
0.102000           3.93478341          165.493358         0.237760805612E-01
0.102200           3.10899432          166.414357         0.186822482128E-01
0.102400           2.54138791          167.333826         0.151875324025E-01
0.102600           2.31394694          168.251709         0.137528881974E-01
0.102800           2.30574294          169.167946         0.136299044189E-01
0.103000           2.33741156          170.082481         0.137428119673E-01
0.103200           2.30001123          170.995257         0.134507311642E-01
0.103400           2.18678019          171.906215         0.127207744527E-01
0.103600           2.04410965          172.815299         0.118282909953E-01
0.103800           1.91702087          173.722452         0.110349632478E-01
0.104000           1.84123204          174.627617         0.105437620329E-01
0.104200           1.86487018          175.530738         0.106241801337E-01
0.104400           2.04345394          176.431758         0.115821208530E-01
0.104600           2.38295104          177.330620         0.134378994424E-01
0.104800           2.77547137          178.227269         0.155726527127E-01
0.105000           3.00637701          179.121649         0.167839958449E-01
0.105200           2.86578899          180.013703         0.159198379828E-01
0.105400           2.30312996          180.903377         0.127312712636E-01
0.105600           1.50469795          181.790614         0.827709368399E-02
0.105800          0.813586111          182.675359         0.445372662417E-02
0.106000          0.528385867          183.557470         0.287858546857E-02
0.106200          0.719319916          184.439659         0.390002844681E-02
0.106400           1.19854051          185.325828         0.646720707778E-02
0.106600           1.66837439          186.200130         0.896011398040E-02
0.106800           1.93466394          187.071528         0.103418406601E-01
0.107000           2.02422995          187.940115         0.107706114514E-01
0.107200           2.12775927          188.805830         0.112695633750E-01
0.107400           2.43426927          189.668621         0.128343279077E-01
0.107600           3.00693328          190.528433         0.157820710673E-01
