# ort(start) =    -8.1790
#   klo  khi step start
#%    4  325    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.500000E-01       10.6390157          401.353095         0.265078701576E-01
0.500740E-01       11.0833421          401.563799         0.276004512965E-01
0.501480E-01       11.4126784          401.771075         0.284059235103E-01
0.502220E-01       11.6366444          401.974927         0.289486821487E-01
0.502960E-01       11.7662894          402.175358         0.292566146081E-01
0.503700E-01       11.8123611          402.372370         0.293567899151E-01
0.504440E-01       11.7838881          402.565966         0.292719433062E-01
0.505180E-01       11.6872206          402.756149         0.290181058819E-01
0.505920E-01       11.5256173          402.942922         0.286035977544E-01
0.506660E-01       11.2994087          403.126288         0.280294513196E-01
0.507400E-01       11.0067012          403.306251         0.272911743268E-01
0.508140E-01       10.6445285          403.482814         0.263816156119E-01
0.508880E-01       10.2103061          403.655980         0.252945740077E-01
0.509620E-01       9.70340988          403.825752         0.240287050001E-01
0.510360E-01       9.12668273          403.992135         0.225912386539E-01
0.511100E-01       8.48767421          404.155131         0.210010304656E-01
0.511840E-01       7.79944317          404.314744         0.192905237785E-01
0.512580E-01       7.08079159          404.470977         0.175063032676E-01
0.513320E-01       6.35585334          404.623835         0.157080547042E-01
0.514060E-01       5.65302547          404.773322         0.139659042805E-01
0.514800E-01       5.00329660          404.919441         0.123562765686E-01
0.515540E-01       4.43809152          405.062195         0.109565680784E-01
0.516280E-01       3.98680611          405.201590         0.983906826736E-02
0.517020E-01       3.67424716          405.337629         0.906465843563E-02
0.517760E-01       3.51821364          405.470317         0.867687100285E-02
0.518500E-01       3.52745600          405.599657         0.869689099278E-02
0.519240E-01       3.70022875          405.725654         0.912002658455E-02
0.519980E-01       4.02360841          405.848311         0.991406961664E-02
0.520720E-01       4.47368941          405.967635         0.110198179125E-01
0.521460E-01       5.01669674          406.083628         0.123538512579E-01
0.522200E-01       5.61097503          406.196296         0.138134569213E-01
0.522940E-01       6.20973399          406.305643         0.152834057429E-01
0.523680E-01       6.76435791          406.411673         0.166441034069E-01
0.524420E-01       7.22802909          406.514392         0.177804998623E-01
0.525160E-01       7.55937623          406.613804         0.185910467341E-01
0.525900E-01       7.72584442          406.709914         0.189959579481E-01
0.526640E-01       7.70649440          406.802726         0.189440578936E-01
0.527380E-01       7.49397624          406.892247         0.184175941029E-01
0.528120E-01       7.09548339          406.978480         0.174345419742E-01
0.528860E-01       6.53257337          407.061431         0.160481265910E-01
0.529600E-01       5.83983489          407.141105         0.143435158463E-01
0.530340E-01       5.06247966          407.217507         0.124318811854E-01
0.531080E-01       4.25303349          407.290642         0.104422568253E-01
0.531820E-01       3.46738535          407.360516         0.851183462473E-02
0.532560E-01       2.76051880          407.427134         0.677549079670E-02
0.533300E-01       2.18228954          407.490501         0.535543658892E-02
0.534040E-01       1.77362236          407.550624         0.435190687132E-02
0.534780E-01       1.56347770          407.607506         0.383574314183E-02
0.535520E-01       1.56688324          407.661155         0.384359222694E-02
0.536260E-01       1.78424252          407.711575         0.437623711160E-02
0.537000E-01       2.20202639          407.758772         0.540031642294E-02
0.537740E-01       2.79483296          407.802752         0.685339406526E-02
0.538480E-01       3.52867612          407.843521         0.865203427989E-02
0.539220E-01       4.36524372          407.881084         0.107022460347E-01
0.539960E-01       5.26676369          407.915448         0.129114102244E-01
0.540700E-01       6.20104055          407.946619         0.152006176035E-01
0.541440E-01       7.14618279          407.974602         0.175162443082E-01
0.542180E-01       8.09454035          407.999403         0.198395887234E-01
0.542920E-01       9.05541232          408.021029         0.221934941594E-01
0.543660E-01       10.0561673          408.039486         0.246450836984E-01
0.544400E-01       11.1415380          408.054779         0.273040252628E-01
0.545140E-01       12.3710002          408.066916         0.303161068771E-01
0.545880E-01       13.8143110          408.075903         0.338523075828E-01
0.546620E-01       15.5454524          408.081745         0.380939667171E-01
0.547360E-01       17.6353893          408.084449         0.432150486082E-01
0.548100E-01       20.1441849          408.084023         0.493628364197E-01
0.548840E-01       23.1131212          408.080471         0.566386358922E-01
0.549580E-01       26.5575249          408.073802         0.650802006420E-01
0.550320E-01       30.4609945          408.064021         0.746475870708E-01
0.551060E-01       34.7716695          408.051134         0.852140004140E-01
0.551800E-01       39.4010602          408.035150         0.965629067880E-01
0.552540E-01       44.2257900          408.016074         0.108392273711    
0.553280E-01       49.0923935          407.993914         0.120326288913    
0.554020E-01       53.8250735          407.968675         0.131934329365    
0.554760E-01       58.2360783          407.940366         0.142756351702    
0.555500E-01       62.1381221          407.908992         0.152333298087    
0.556240E-01       65.3580667          407.874561         0.160240605467    
0.556980E-01       67.7509217          407.837081         0.166122515367    
0.557720E-01       69.2131252          407.796557         0.169724643478    
0.558460E-01       69.6940438          407.752997         0.170922211052    
0.559200E-01       69.2046886          407.706409         0.169741478364    
0.559940E-01       67.8227808          407.656799         0.166372254924    
0.560680E-01       65.6935146          407.604174         0.161169876890    
0.561420E-01       63.0256338          407.548543         0.154645710010    
0.562160E-01       60.0827631          407.489911         0.147446013747    
0.562900E-01       57.1702706          407.428288         0.140319836252    
0.563640E-01       54.6182795          407.363679         0.134077440760    
0.564380E-01       52.7617589          407.296093         0.129541529774    
0.565120E-01       51.9188835          407.225536         0.127494174204    
0.565860E-01       52.3690396          407.152017         0.128622817371    
0.566600E-01       54.3319522          407.075544         0.133468966865    
0.567340E-01       57.9494035          406.996122         0.142383183450    
0.568080E-01       63.2709051          406.913761         0.155489716045    
0.568820E-01       70.2444776          406.828468         0.172663624161    
0.569560E-01       78.7133907          406.740250         0.193522501587    
0.570300E-01       88.4193488          406.649116         0.217434012289    
0.571040E-01       99.0121907          406.555073         0.243539430122    
0.571780E-01       110.065734          406.458128         0.270792307229    
0.572520E-01       121.098979          406.358291         0.298010356191    
0.573260E-01       131.601491          406.255568         0.323937692500    
0.574000E-01       141.061495          406.149968         0.347313815441    
0.574740E-01       148.994965          406.041499         0.366945164974    
0.575480E-01       154.973918          405.930168         0.381774822479    
0.576220E-01       158.652115          405.815985         0.390945948114    
0.576960E-01       159.786510          405.698955         0.393854870602    
0.577700E-01       158.253046          405.579089         0.390190348177    
0.578440E-01       154.055737          405.456394         0.379956364285    
0.579180E-01       147.328391          405.330877         0.363476852266    
0.579920E-01       138.328812          405.202549         0.341381890301    
0.580660E-01       127.425783          405.071415         0.314576092761    
0.581400E-01       115.079616          404.937486         0.284191065516    
0.582140E-01       101.817437          404.800769         0.251524811941    
0.582880E-01       88.2047473          404.661273         0.217971803319    
0.583620E-01       74.8149832          404.519005         0.184948005635    
0.584360E-01       62.1989631          404.373975         0.153815445637    
0.585100E-01       50.8560545          404.226190         0.125810884457    
0.585840E-01       41.2087875          404.075660         0.101982850313    
0.586580E-01       33.5823856          403.922392         0.831406879464E-01
0.587320E-01       28.1903461          403.766396         0.698184554162E-01
0.588060E-01       25.1267974          403.607679         0.622554988583E-01
0.588800E-01       24.3659081          403.446251         0.603944343220E-01
0.589540E-01       25.7681708          403.282119         0.638961401871E-01
0.590280E-01       29.0929484          403.115293         0.721702918705E-01
0.591020E-01       34.0162900          402.945782         0.844190249027E-01
0.591760E-01       40.1527230          402.773593         0.996905549618E-01
0.592500E-01       47.0795182          402.598736         0.116939061158    
0.593240E-01       54.3618273          402.421219         0.135086880953    
0.593980E-01       61.5771040          402.241052         0.153085081123    
0.594720E-01       68.3373363          402.058242         0.169968748852    
0.595460E-01       74.3078324          401.872799         0.184903861597    
0.596200E-01       79.2215880          401.684732         0.197223299127    
