# E_in (eV)  P_abs  P_ref
0.005 54.310  45.690 
0.01 29.363  70.637 
0.05 8.796 91.204
0.10 5.375  94.621
0.15 4.171 95.829
0.30 2.971 97.029
0.45 2.983 97.017
0.6 3.038 96.962
0.8 3.038 96.962
1.2 6.94  93.060
