# ort(start) =    -8.1790
#   klo  khi step start
#%    4  344    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.650000E-01       1.43487406          218.736313         0.655983471004E-02
0.651700E-01       2.39635904          219.891281         0.108979265956E-01
0.653400E-01       4.10876039          221.042533         0.185880985378E-01
0.655100E-01       6.22229908          222.189993         0.280044073298E-01
0.656800E-01       8.15838188          223.333584         0.365300271548E-01
0.658500E-01       9.31106685          224.473228         0.414796317910E-01
0.660200E-01       9.27561240          225.608850         0.411136902714E-01
0.661900E-01       8.01075825          226.740375         0.353300917632E-01
0.663600E-01       5.86630927          227.867727         0.257443621279E-01
0.665300E-01       3.46178997          228.990831         0.151175920710E-01
0.667000E-01       1.46290663          230.109614         0.635743378293E-02
0.668700E-01      0.344418843          231.224001         0.148954624578E-02
0.670400E-01      0.232823840          232.333921         0.100210868713E-02
0.672100E-01      0.888119471          233.439299         0.380449852971E-02
0.673800E-01       1.82606649          234.540065         0.778573370300E-02
0.675500E-01       2.52623613          235.636146         0.107209193738E-01
0.677200E-01       2.64056123          236.727472         0.111544351221E-01
0.678900E-01       2.12351108          237.813972         0.892929484396E-02
0.680600E-01       1.24265891          238.895576         0.520168239837E-02
0.682300E-01      0.478216902          239.972215         0.199280113036E-02
0.684000E-01      0.359620000          241.043821         0.149192789633E-02
0.685700E-01       1.30150170          242.110324         0.537565554440E-02
0.687400E-01       3.48911608          243.171657         0.143483666002E-01
0.689100E-01       6.83538596          244.227753         0.279877526633E-01
0.690800E-01       11.0040944          245.278547         0.448636644578E-01
0.692500E-01       15.4780641          246.323971         0.628362074230E-01
0.694200E-01       19.6499561          247.363960         0.794374254219E-01
0.695900E-01       22.9204893          248.398450         0.922730768561E-01
0.697600E-01       24.7953613          249.427378         0.994091406543E-01
0.699300E-01       24.9723072          250.450678         0.997094814164E-01
0.701000E-01       23.4046414          251.468289         0.930719395239E-01
0.702700E-01       20.3235449          252.480148         0.804956151755E-01
0.704400E-01       16.2048355          253.486194         0.639278817582E-01
0.706100E-01       11.6789736          254.486366         0.458923350311E-01
0.707800E-01       7.40138868          255.480603         0.289704525118E-01
0.709500E-01       3.91567188          256.468846         0.152676316719E-01
0.711200E-01       1.54723776          257.451036         0.600983312397E-02
0.712900E-01      0.356819739          258.427114         0.138073646237E-02
0.714600E-01      0.164575950          259.397022         0.634455817476E-03
0.716300E-01      0.633627421          260.360705         0.243365227386E-02
0.718000E-01       1.38420001          261.318104         0.529699239074E-02
0.719700E-01       2.10170199          262.269165         0.801353064609E-02
0.721400E-01       2.60606633          263.213833         0.990094747727E-02
0.723100E-01       2.86411925          264.152052         0.108426916726E-01
0.724800E-01       2.94733633          265.083770         0.111185091922E-01
0.726500E-01       2.95762535          266.008933         0.111185189225E-01
0.728200E-01       2.95619300          266.927489         0.110748915837E-01
0.729900E-01       2.92889922          267.839387         0.109352819982E-01
0.731600E-01       2.80426473          268.744574         0.104346840559E-01
0.733300E-01       2.51326559          269.643002         0.932071506077E-02
0.735000E-01       2.05570843          270.534621         0.759868892208E-02
0.736700E-01       1.53037059          271.419381         0.563839832899E-02
0.738400E-01       1.10277200          272.297235         0.404988321690E-02
0.740100E-01      0.920014944          273.168135         0.336794385944E-02
0.741800E-01       1.01825906          274.032035         0.371583950661E-02
0.743500E-01       1.28234755          274.888888         0.466496684049E-02
0.745200E-01       1.49530347          275.738648         0.542290128687E-02
0.746900E-01       1.46439163          276.581273         0.529461601341E-02
0.748600E-01       1.15707094          277.416716         0.417087679843E-02
0.750300E-01      0.758704885          278.244936         0.272675181555E-02
0.752000E-01      0.595350228          279.065890         0.213336795877E-02
0.753700E-01      0.940625327          279.879536         0.336082209301E-02
0.755400E-01       1.80655972          280.685833         0.643623407472E-02
0.757100E-01       2.85378939          281.484741         0.101383449289E-01
0.758800E-01       3.51394680          282.276220         0.124486108149E-01
0.760500E-01       3.30619342          283.060231         0.116801763419E-01
0.762200E-01       2.20440145          283.836737         0.776644162975E-02
0.763900E-01      0.844747169          284.605700         0.296813159509E-02
0.765600E-01      0.407083359          285.367083         0.142652528603E-02
0.767300E-01       2.15288380          286.120850         0.752438630141E-02
0.769000E-01       6.79072493          286.866966         0.236720352167E-01
0.770700E-01       13.9672447          287.605397         0.485639172645E-01
0.772400E-01       22.1673926          288.336109         0.768803901527E-01
0.774100E-01       29.1406970          289.059069         0.100812256627    
0.775800E-01       32.7210853          289.774244         0.112919232716    
0.777500E-01       31.6994652          290.481604         0.109127272567    
0.779200E-01       26.3532443          291.181117         0.905046473875E-01
0.780900E-01       18.3750544          291.872753         0.629557033894E-01
0.782600E-01       10.2149649          292.556483         0.349162143740E-01
0.784300E-01       4.12435552          293.232278         0.140651484457E-01
0.786000E-01       1.32761170          293.900111         0.451722081113E-02
0.787700E-01       1.67930914          294.559953         0.570107755844E-02
0.789400E-01       3.92478540          295.211780         0.132948129751E-01
0.791100E-01       6.39419747          295.855565         0.216125644733E-01
0.792800E-01       7.77032971          296.491283         0.262076160750E-01
0.794500E-01       7.56975488          297.118910         0.254771898539E-01
0.796200E-01       6.15480724          297.738423         0.206718608446E-01
0.797900E-01       4.34664285          298.349798         0.145689485266E-01
0.799600E-01       2.90026893          298.953014         0.970142060507E-02
0.801300E-01       2.13577905          299.548049         0.713000487722E-02
0.803000E-01       1.89280869          300.134883         0.630652681347E-02
0.804700E-01       1.77232844          300.713496         0.589374425897E-02
0.806400E-01       1.47169685          301.283868         0.488475156931E-02
0.808100E-01      0.991058083          301.845982         0.328332375676E-02
0.809800E-01      0.595833178          302.399819         0.197034898943E-02
0.811500E-01      0.586462334          302.945363         0.193586832989E-02
0.813200E-01       1.04753909          303.482598         0.345172703990E-02
0.814900E-01       1.75254060          304.011506         0.576471799788E-02
0.816600E-01       2.29096469          304.532075         0.752290113560E-02
0.818300E-01       2.33501516          305.044290         0.765467583955E-02
0.820000E-01       1.86885217          305.548137         0.611639197864E-02
0.821700E-01       1.22390940          306.043603         0.399913408888E-02
0.823400E-01      0.885620500          306.530677         0.288917412551E-02
0.825100E-01       1.18374455          307.009347         0.385572806327E-02
0.826800E-01       2.05842768          307.479602         0.669451784240E-02
0.828500E-01       3.05617158          307.941433         0.992452216945E-02
0.830200E-01       3.57495905          308.394830         0.115921497430E-01
0.831900E-01       3.22614011          308.839786         0.104459990699E-01
0.833600E-01       2.10347967          309.276291         0.680129622804E-02
0.835300E-01      0.794537368          309.704338         0.256547057756E-02
0.837000E-01      0.111975369          310.123922         0.361066531949E-03
0.838700E-01      0.680867331          310.535037         0.219256203128E-02
0.840400E-01       2.60177184          310.937676         0.836750266463E-02
0.842100E-01       5.37088284          311.331837         0.172513125904E-01
0.843800E-01       8.10061624          311.717514         0.259870423187E-01
0.845500E-01       9.92472709          312.094706         0.318003699192E-01
0.847200E-01       10.3794032          312.463408         0.332179798129E-01
0.848900E-01       9.57363294          312.823621         0.306039324106E-01
0.850600E-01       8.08124560          313.175341         0.258042206013E-01
0.852300E-01       6.63375749          313.518570         0.211590576084E-01
0.854000E-01       5.78704887          313.853307         0.184387060576E-01
0.855700E-01       5.72972295          314.179553         0.182370968841E-01
0.857400E-01       6.30788656          314.497309         0.200570446241E-01
0.859100E-01       7.21804910          314.806578         0.229285205593E-01
0.860800E-01       8.23606312          315.107362         0.261373237086E-01
0.862500E-01       9.34698142          315.399665         0.296353562476E-01
0.864200E-01       10.7119151          315.683490         0.339324528844E-01
0.865900E-01       12.5072249          315.958842         0.395849812660E-01
0.867600E-01       14.7418806          316.225727         0.466182202818E-01
0.869300E-01       17.1651710          316.484151         0.542370634916E-01
0.871000E-01       19.3217812          316.734119         0.610031569232E-01
0.872700E-01       20.7294879          316.975639         0.653977318017E-01
0.874400E-01       21.0911091          317.208719         0.664896889414E-01
0.876100E-01       20.4370993          317.433367         0.643823283688E-01
0.877800E-01       19.1307284          317.649592         0.602258868505E-01
0.879500E-01       17.7320069          317.857403         0.557860434641E-01
0.881200E-01       16.7775614          318.056811         0.527502030439E-01
0.882900E-01       16.5663344          318.247826         0.520548233832E-01
0.884600E-01       17.0360837          318.430459         0.535001701012E-01
0.886300E-01       17.7796533          318.604723         0.558047386532E-01
0.888000E-01       18.1984492          318.770629         0.570894791377E-01
0.889700E-01       17.7408857          318.928191         0.556265836597E-01
0.891400E-01       16.1406196          319.077423         0.505852763610E-01
0.893100E-01       13.5636299          319.218337         0.424901339796E-01
0.894800E-01       10.5990322          319.350950         0.331892927098E-01
0.896500E-01       8.08154491          319.475276         0.252963077927E-01
0.898200E-01       6.79842980          319.591331         0.212722597557E-01
0.899900E-01       7.18631157          319.699131         0.224783581682E-01
0.901600E-01       9.13884132          319.798693         0.285768563429E-01
0.903300E-01       12.0117324          319.890035         0.375495673987E-01
0.905000E-01       14.8357785          319.973175         0.463656945076E-01
0.906700E-01       16.6611275          320.048130         0.520581934114E-01
0.908400E-01       16.8969588          320.114920         0.527840400064E-01
0.910100E-01       15.5095377          320.173565         0.484410314905E-01
0.911800E-01       13.0017226          320.224084         0.406019509742E-01
0.913500E-01       10.1914832          320.266497         0.318218836942E-01
0.915200E-01       7.89127326          320.300827         0.246370680331E-01
0.916900E-01       6.62462955          320.327094         0.206808280925E-01
0.918600E-01       6.48731775          320.345319         0.202510146211E-01
0.920300E-01       7.18626700          320.355527         0.224321617518E-01
0.922000E-01       8.21035512          320.357739         0.256287085193E-01
0.923700E-01       9.04151852          320.351979         0.282237011428E-01
0.925400E-01       9.31943827          320.338271         0.290924909701E-01
0.927100E-01       8.91602287          320.316640         0.278350287502E-01
0.928800E-01       7.92623040          320.287109         0.247472663528E-01
0.930500E-01       6.61039492          320.249705         0.206413770766E-01
0.932200E-01       5.32039865          320.204453         0.166156298276E-01
0.933900E-01       4.42097480          320.151378         0.138090137906E-01
0.935600E-01       4.20238227          320.090509         0.131287312577E-01
0.937300E-01       4.78790253          320.021872         0.149611728107E-01
0.939000E-01       6.06439114          319.945494         0.189544508594E-01
0.940700E-01       7.68331660          319.861403         0.240207681599E-01
0.942400E-01       9.16848297          319.769627         0.286721507897E-01
0.944100E-01       10.1185259          319.670196         0.316530162461E-01
