# ort(start) =    -8.1790
#   klo  khi step start
#%    4   91    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.880000           2.44245469          56.7410467         0.430456403340E-01
0.880540           2.34752098          57.0696669         0.411343032547E-01
0.881080           2.26639228          57.3983731         0.394853051152E-01
0.881620           2.18968742          57.7271474         0.379316754321E-01
0.882160           2.10498977          58.0559715         0.362579372427E-01
0.882700           2.00377335          58.3848274         0.343201040218E-01
0.883240           1.88630453          58.7136968         0.321271633184E-01
0.883780           1.76287062          59.0425614         0.298576242973E-01
0.884320           1.65114633          59.3714029         0.278104651765E-01
0.884860           1.57090062          59.7002028         0.263131537556E-01
0.885400           1.53806397          60.0289427         0.256220400603E-01
0.885940           1.56018210          60.3576039         0.258489734745E-01
0.886480           1.63457174          60.6861679         0.269348320930E-01
0.887020           1.74942762          61.0146161         0.286722711999E-01
0.887560           1.88715236          61.3429296         0.307639751364E-01
0.888100           2.02864015          61.6710897         0.328945080114E-01
0.888640           2.15725479          61.9990775         0.347949498432E-01
0.889180           2.26167395          62.3268743         0.362872994315E-01
0.889720           2.33734165          62.6544610         0.373052711280E-01
0.890260           2.38669728          62.9818186         0.378950200696E-01
0.890800           2.41848197          63.3089282         0.382012780847E-01
0.891340           2.44630235          63.6357707         0.384422521928E-01
0.891880           2.48644201          63.9623270         0.388735389222E-01
0.892420           2.55486828          64.2885779         0.397406251648E-01
0.892960           2.66359939          64.6145043         0.412229330506E-01
0.893500           2.81701652          64.9400870         0.433786995359E-01
0.894040           3.00910964          65.2653066         0.461058072136E-01
0.894580           3.22276819          65.5901440         0.491349462079E-01
0.895120           3.43188944          65.9145797         0.520657106840E-01
0.895660           3.60629905          66.2385946         0.544440756389E-01
0.896200           3.71850145          66.5621692         0.558650881134E-01
0.896740           3.75047859          66.8852847         0.560732993856E-01
0.897280           3.69849357          67.2079229         0.550306184703E-01
0.897820           3.57430459          67.5300475         0.529290993737E-01
0.898360           3.40225787          67.8519996         0.501423376087E-01
0.898900           3.21304901          68.1730649         0.471307694392E-01
0.899440           3.03604329          68.4935879         0.443259490591E-01
0.899980           2.89250964          68.8135365         0.420340210764E-01
0.900520           2.79176885          69.1328894         0.403826437478E-01
0.901060           2.73121251          69.4516271         0.393253927470E-01
0.901600           2.69980564          69.7697301         0.386959449680E-01
0.902140           2.68354141          70.0871788         0.382886208153E-01
0.902680           2.67078379          70.4039538         0.379351392814E-01
0.903220           2.65567507          70.7200356         0.375519476321E-01
0.903760           2.63866685          71.0354047         0.371457988260E-01
0.904300           2.62438096          71.3500417         0.367817718990E-01
0.904840           2.61797378          71.6639270         0.365312632307E-01
0.905380           2.62161611          71.9770412         0.364229491114E-01
0.905920           2.63249448          72.2893650         0.364160686768E-01
0.906460           2.64303062          72.6008787         0.364049398449E-01
0.907000           2.64312322          72.9115632         0.362510842059E-01
0.907540           2.62349733          73.2213989         0.358296532368E-01
0.908080           2.57894999          73.5303665         0.350732645014E-01
0.908620           2.51045863          73.8384466         0.339993424533E-01
0.909160           2.42563610          74.1456200         0.327144894107E-01
0.909700           2.33762384          74.4518673         0.313977866420E-01
0.910240           2.26297276          74.7571693         0.302709797463E-01
0.910780           2.21922989          75.0615067         0.295654855494E-01
0.911320           2.22283113          75.3648604         0.294942645025E-01
0.911860           2.28760926          75.6672112         0.302325039019E-01
0.912400           2.42391918          75.9685400         0.319068811908E-01
0.912940           2.63817691          76.2688277         0.345905003264E-01
0.913480           2.93255027          76.5680552         0.382999184293E-01
0.914020           3.30459708          76.8662037         0.429915479621E-01
0.914560           3.74676100          77.1632540         0.485562856361E-01
0.915100           4.24575913          77.4591874         0.548128540179E-01
0.915640           4.78201746          77.7539850         0.615018955528E-01
0.916180           5.32943925          78.0476280         0.682844488002E-01
0.916720           5.85591851          78.3400976         0.747499516820E-01
0.917260           6.32507915          78.6313752         0.804396353346E-01
0.917800           6.69963033          78.9214421         0.848898619580E-01
0.918340           6.94638862          79.2102799         0.876955444745E-01
0.918880           7.04242196          79.4978699         0.885862975838E-01
0.919420           6.98105602          79.7841939         0.874992361675E-01
0.919960           6.77592737          80.0692333         0.846258555731E-01
0.920500           6.46120017          80.3529699         0.804102222768E-01
0.921040           6.08671894          80.6353855         0.754844650402E-01
0.921580           5.70823998          80.9164619         0.705448538491E-01
0.922120           5.37463751          81.1961810         0.661932303270E-01
0.922660           5.11552198          81.4745250         0.627867665982E-01
0.923200           4.93336754          81.7514757         0.603459142241E-01
0.923740           4.80354931          82.0270154         0.585605764225E-01
0.924280           4.68360263          82.3011264         0.569081230787E-01
0.924820           4.53004279          82.5737909         0.548605403484E-01
0.925360           4.31816833          82.8449914         0.521234688066E-01
0.925900           4.05849692          83.1147104         0.488300674663E-01
0.926440           3.80366761          83.3829305         0.456168616838E-01
0.926980           3.64199247          83.6496344         0.435386537382E-01
0.927520           3.67779157          83.9148048         0.438276843006E-01
0.928060           4.00299544          84.1784246         0.475536986994E-01
0.928600           4.66778867          84.4404768         0.552790420278E-01
0.929140           5.65909280          84.7009446         0.668126291505E-01
0.929680           6.89394772          84.9598110         0.811436329854E-01
0.930220           8.23077690          85.2170593         0.965860235770E-01
0.930760           9.49635365          85.4726730         0.111103974154    
0.931300           10.5216670          85.7266355         0.122735097303    
0.931840           11.1772966          85.9789305         0.130000414319    
0.932380           11.3991534          86.2295416         0.132195454569    
0.932920           11.1983810          86.4784527         0.129493309580    
0.933460           10.6538321          86.7256478         0.122845229625    
0.934000           9.89031608          86.9711108         0.113719555663    
0.934540           9.04928652          87.2148260         0.103758580173    
0.935080           8.25986732          87.4567777         0.944451365704E-01
0.935620           7.61697695          87.6969503         0.868556651189E-01
0.936160           7.17045100          87.9353283         0.815423236232E-01
0.936700           6.92559815          88.1718964         0.785465485770E-01
0.937240           6.85269405          88.4066395         0.775133416712E-01
0.937780           6.90128843          88.6395423         0.778578978928E-01
0.938320           7.01506474          88.8705900         0.789357281925E-01
0.938860           7.14400675          89.0997677         0.801798583150E-01
0.939400           7.25215440          89.3270609         0.811865332739E-01
0.939940           7.32064746          89.5524548         0.817470327835E-01
0.940480           7.34669287          89.7759351         0.818336546555E-01
0.941020           7.33951147          89.9974876         0.815524040754E-01
0.941560           7.31442710          90.2170980         0.810758410857E-01
0.942100           7.28630369          90.4347524         0.805697311288E-01
0.942640           7.26362998          90.6504370         0.801279091730E-01
0.943180           7.24460941          90.8641379         0.797301287158E-01
0.943720           7.21641507          91.0758417         0.792352278577E-01
0.944260           7.15813548          91.2855349         0.784147836970E-01
0.944800           7.04688997          91.4932043         0.770209112418E-01
0.945340           6.86542774          91.6988367         0.748693002742E-01
0.945880           6.60872015          91.9024191         0.719101871082E-01
0.946420           6.28706066          92.1039387         0.682604973036E-01
0.946960           5.92418004          92.3033829         0.641816135155E-01
0.947500           5.55063128          92.5007390         0.600063451896E-01
0.948040           5.19458236          92.6959949         0.560389083440E-01
0.948580           4.87340463          92.8891382         0.524647415810E-01
0.949120           4.58945408          93.0801569         0.493064713107E-01
0.949660           4.33206850          93.2690391         0.464470154478E-01
0.950200           4.08546901          93.4557731         0.437155338602E-01
0.950740           3.83983234          93.6403473         0.410061736758E-01
0.951280           3.60127126          93.8227502         0.383837742180E-01
0.951820           3.39651435          94.0029708         0.361319894496E-01
0.952360           3.26979656          94.1809978         0.347182194930E-01
0.952900           3.27227166          94.3568204         0.346797575893E-01
0.953440           3.44708517          94.5304279         0.364653503372E-01
0.953980           3.81500002          94.7018096         0.402843413545E-01
0.954520           4.36544394          94.8709551         0.460145461273E-01
0.955060           5.05603498          95.0378542         0.532002223785E-01
0.955600           5.82073497          95.2024968         0.611405705664E-01
0.956140           6.58389954          95.3648731         0.690390426264E-01
0.956680           7.27572830          95.5249732         0.761657192912E-01
0.957220           7.84458645          95.6827877         0.819853459333E-01
0.957760           8.26326886          95.8383072         0.862209392274E-01
0.958300           8.52875755          95.9915225         0.888490704742E-01
0.958840           8.65731185          96.1424245         0.900467394123E-01
0.959380           8.67790553          96.2910045         0.901216638121E-01
0.959920           8.62670493          96.4372536         0.894540710137E-01
0.960460           8.54377270          96.5811635         0.884621015893E-01
0.961000           8.47131760          96.7227259         0.875835283366E-01
0.961540           8.45156257          96.8619325         0.872537058613E-01
0.962080           8.52232489          96.9987754         0.878601286421E-01
