# ort(start) =    -8.1790
#   klo  khi step start
#%    4  213    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.200000           2.65565494          41.0852030         0.646377465500E-01
0.200400           1.99873868          41.6992143         0.479322862967E-01
0.200800           1.45140083          42.3184283         0.342971346534E-01
0.201200          0.941322670          42.9427943         0.219203870325E-01
0.201600          0.428904075          43.5722863         0.984350630764E-02
0.202000          0.980687208E-01      44.2068782         0.221840412241E-02
0.202400          0.218174658          44.8465423         0.486491592260E-02
0.202800          0.853084482          45.4912501         0.187527157490E-01
0.203200           1.77473403          46.1409716         0.384632998539E-01
0.203600           2.67056264          46.7956758         0.570685772116E-01
0.204000           3.37542997          47.4553304         0.711285737472E-01
0.204400           3.86190347          48.1199021         0.802558462614E-01
0.204800           4.06336554          48.7893562         0.832838523362E-01
0.205200           3.82601470          49.4636572         0.773500163995E-01
0.205600           3.09609851          50.1427585         0.617456757509E-01
0.206000           2.09959068          50.8281727         0.413076167684E-01
0.206400           1.23496538          51.5167256         0.239721248607E-01
0.206800          0.749319374          52.2100409         0.143520166034E-01
0.207200          0.564056344          52.9080031         0.106610779396E-01
0.207600          0.459827643          53.6105723         0.857718213695E-02
0.208000          0.391179360          54.3177047         0.720169164715E-02
0.208400          0.530649960          55.0293549         0.964303436354E-02
0.208800          0.978312619          55.7454766         0.175496323323E-01
0.209200           1.51263545          56.4660225         0.267884185726E-01
0.209600           1.73821884          57.1909439         0.303932532585E-01
0.210000           1.49825231          57.9201909         0.258675306553E-01
0.210400           1.05953265          58.6537106         0.180642050283E-01
0.210800          0.819580589          59.3919348         0.137995266746E-01
0.211200          0.866755667          60.1345741         0.144135994966E-01
0.211600          0.930175585          60.8806026         0.152786855895E-01
0.212000          0.795653076          61.6306967         0.129100126897E-01
0.212400          0.669607172          62.3847944         0.107334997037E-01
0.212800          0.990247813          63.1428381         0.156826624015E-01
0.213200           1.85038072          63.9047692         0.289552837046E-01
0.213600           2.73313328          64.6705280         0.422624241435E-01
0.214000           2.98002178          65.4400537         0.455381927820E-01
0.214400           2.56271346          66.2132845         0.387039168283E-01
0.214800           2.28296552          66.9901577         0.340791185500E-01
0.215200           3.05780766          67.7706085         0.451199676333E-01
0.215600           4.93788314          68.5546101         0.720284620976E-01
0.216000           6.87179838          69.3433631         0.990981410634E-01
0.216400           7.52669930          70.1341664         0.107318582097    
0.216800           6.41824684          70.9282748         0.904892563607E-01
0.217200           4.29407414          71.7256275         0.598680595821E-01
0.217600           2.45812657          72.5261540         0.338929673168E-01
0.218000           1.72706391          73.3297834         0.235520116228E-01
0.218400           1.96604800          74.1364440         0.265193188817E-01
0.218800           2.48751540          74.9460630         0.331907414602E-01
0.219200           2.77232633          75.7585669         0.365942288086E-01
0.219600           2.80364864          76.5738812         0.366136415976E-01
0.220000           2.83439949          77.3919304         0.366239668553E-01
0.220400           2.98723722          78.2126382         0.381937917990E-01
0.220800           3.13820162          79.0359275         0.397060136982E-01
0.221200           3.12855194          79.8617203         0.391746124522E-01
0.221600           2.99697663          80.6899393         0.371418872793E-01
0.222000           2.97004331          81.5207725         0.364329633179E-01
0.222400           3.25328658          82.3550497         0.395031827711E-01
0.222800           3.85795165          83.1900490         0.463751577883E-01
0.223200           4.61100494          84.0271625         0.548751713443E-01
0.223600           5.28665729          84.8662942         0.622939570717E-01
0.224000           5.70815990          85.7073608         0.666005795377E-01
0.224400           5.75701867          86.5502781         0.665164664299E-01
0.224800           5.35511504          87.3949611         0.612748718187E-01
0.225200           4.50637099          88.2413243         0.510687144448E-01
0.225600           3.38863555          89.0892813         0.380364001422E-01
0.226000           2.38323498          89.9387453         0.264984237546E-01
0.226400           1.93408938          90.7896286         0.213029771155E-01
0.226800           2.26344011          91.6418430         0.246987624200E-01
0.227200           3.14038387          92.4952998         0.339518210769E-01
0.227600           3.93909543          93.3499095         0.421970995903E-01
0.228000           4.03886421          94.2055822         0.428728755807E-01
0.228400           3.30847112          95.0622275         0.348032148093E-01
0.228800           2.26074011          95.9197542         0.235690773466E-01
0.229200           1.67553795          96.7780705         0.173131985472E-01
0.229600           1.95643172          97.6371358         0.200377827951E-01
0.230000           2.78302660          98.4987403         0.282544384918E-01
0.230400           3.40367994          99.3587681         0.342564627457E-01
0.230800           3.32172401          100.219318         0.331445482574E-01
0.231200           2.72760619          101.080192         0.269845765668E-01
0.231600           2.25704287          101.941298         0.221406133687E-01
0.232000           2.32396422          102.802540         0.226060972501E-01
0.232400           2.71101793          103.663824         0.261520155733E-01
0.232800           2.83194189          104.525053         0.270934268385E-01
0.233200           2.37515081          105.386134         0.225376027127E-01
0.233600           1.64284453          106.246969         0.154625072743E-01
0.234000           1.24034169          107.107463         0.115803479808E-01
0.234400           1.47332864          107.967519         0.136460359157E-01
0.234800           2.10463560          108.827040         0.193392708035E-01
0.235200           2.69243518          109.685930         0.245467688389E-01
0.235600           3.07556510          110.544093         0.278220665415E-01
0.236000           3.43644737          111.401429         0.308474262174E-01
0.236400           3.90259061          112.257843         0.347645251531E-01
0.236800           4.21689973          113.113237         0.372803382841E-01
0.237200           3.93815567          113.967512         0.345550726880E-01
0.237600           2.99144287          114.820572         0.260531959796E-01
0.238000           1.92230414          115.672319         0.166185320828E-01
0.238400           1.48785241          116.522655         0.127687822668E-01
0.238800           1.95749719          117.371471         0.166777938049E-01
0.239200           2.85814113          118.220824         0.241762917097E-01
0.239600           3.45016390          119.066191         0.289768562890E-01
0.240000           3.44280994          119.909900         0.287116405186E-01
0.240400           3.21280501          120.751704         0.266067053828E-01
0.240800           3.34280287          121.591510         0.274920746268E-01
0.241200           4.01673946          122.429220         0.328086665022E-01
0.241600           4.90011401          123.264737         0.397527640091E-01
0.242000           5.53810114          124.097964         0.446268494319E-01
0.242400           5.74472035          124.928802         0.459839545073E-01
0.242800           5.56753393          125.757156         0.442721044114E-01
0.243200           5.00441038          126.582928         0.395346392251E-01
0.243600           3.96200312          127.406022         0.310974557384E-01
0.244000           2.58550564          128.226341         0.201636077960E-01
0.244400           1.51357989          129.043789         0.117291959754E-01
0.244800           1.57593031          129.858271         0.121357715540E-01
0.245200           3.07097225          130.669691         0.235017947098E-01
0.245600           5.33401073          131.477953         0.405696210403E-01
0.246000           7.12151529          132.282963         0.538354684146E-01
0.246400           7.53287729          133.084627         0.566021596251E-01
0.246800           6.63152398          133.882849         0.495322890435E-01
0.247200           5.22663112          134.677537         0.388084846132E-01
0.247600           4.10620993          135.468597         0.303111571732E-01
0.248000           3.48699481          136.255935         0.255915076078E-01
0.248400           3.11892455          137.039461         0.227593171809E-01
0.248800           2.78758176          137.819080         0.202263848698E-01
0.249200           2.64790085          138.594703         0.191053539090E-01
0.249600           3.11713345          139.366277         0.223664828787E-01
0.250000           4.50865482          140.135594         0.321735163787E-01
0.250400           6.72121220          140.898523         0.477025027801E-01
0.250800           9.13627152          141.657240         0.644956201080E-01
0.251200           10.7560479          142.411509         0.755279402772E-01
0.251600           10.6275380          143.161243         0.742347423944E-01
0.252000           8.48963848          143.906354         0.589941879052E-01
0.252400           5.24803349          144.646755         0.362817228496E-01
0.252800           2.71206616          145.382361         0.186547125901E-01
0.253200           2.47317926          146.113085         0.169264735686E-01
0.253600           4.65865285          146.838842         0.317262979830E-01
0.254000           7.67720828          147.559548         0.520278653471E-01
0.254400           9.37017378          148.275119         0.631945118318E-01
0.254800           8.70159699          148.985473         0.584056740178E-01
0.255200           6.53400795          149.690528         0.436501095935E-01
0.255600           4.83094150          150.390202         0.321227144283E-01
0.256000           5.06751976          151.084414         0.335409830122E-01
0.256400           7.27255881          151.773085         0.479173155770E-01
0.256800           10.3668253          152.456136         0.679987408768E-01
0.257200           13.1824060          153.133488         0.860844096764E-01
0.257600           15.1008313          153.805065         0.981816251346E-01
0.258000           15.9559230          154.470790         0.103294111367    
0.258400           15.7357466          155.130587         0.101435486488    
0.258800           14.6403188          155.784381         0.939780915133E-01
0.259200           13.3206122          156.432100         0.851526777488E-01
0.259600           12.6885573          157.073668         0.807809321267E-01
0.260000           13.1778707          157.709016         0.835581317818E-01
0.260400           14.1589404          158.338071         0.894222108223E-01
0.260800           14.2802519          158.960764         0.898350736047E-01
0.261200           12.6062965          159.577025         0.789981925390E-01
0.261600           9.52461908          160.186785         0.594594557680E-01
0.262000           6.54645159          160.789979         0.407143008959E-01
0.262400           5.20203993          161.386539         0.322334189254E-01
0.262800           6.07156909          161.976400         0.374842820887E-01
0.263200           8.72705425          162.559499         0.536852925012E-01
0.263600           12.3701198          163.135778         0.758271415756E-01
0.264000           16.3583370          163.707011         0.999244742170E-01
0.264400           20.1770641          164.269236         0.122829232113    
0.264800           23.1703059          164.824637         0.140575501195    
0.265200           24.5753079          165.372966         0.148605352713    
0.265600           23.9293769          165.914168         0.144227446721    
0.266000           21.4031253          166.448187         0.128587314007    
0.266400           17.6900495          166.974966         0.105944321569    
0.266800           13.5930222          167.494450         0.811550601305E-01
0.267200           9.73323656          168.006587         0.579336606037E-01
0.267600           6.55833227          168.511322         0.389192380692E-01
0.268000           4.42589473          169.008606         0.261873926579E-01
0.268400           3.51015711          169.498388         0.207090884989E-01
0.268800           3.61535064          169.980618         0.212691934262E-01
0.269200           4.19390780          170.455249         0.246041575888E-01
0.269600           4.66097196          170.922233         0.272695474785E-01
0.270000           4.73645750          171.381526         0.276369198287E-01
0.270400           4.49971151          171.833082         0.261865261762E-01
0.270800           4.16503602          172.276859         0.241764102726E-01
0.271200           3.86647756          172.712813         0.223867441547E-01
0.271600           3.64550642          173.140904         0.210551425367E-01
0.272000           3.53353692          173.561093         0.203590382544E-01
0.272400           3.53133209          173.973339         0.202981221611E-01
0.272800           3.50967407          174.377606         0.201268622709E-01
0.273200           3.24571075          174.773858         0.185709166349E-01
0.273600           2.65941158          175.162060         0.151825777042E-01
0.274000           1.99772664          175.542176         0.113803228278E-01
0.274400           1.68148549          175.914176         0.955855592281E-02
0.274800           1.90197730          176.278026         0.107896448260E-01
0.275200           2.40419596          176.633698         0.136111964409E-01
0.275600           2.75062740          176.981161         0.155419220044E-01
0.276000           2.82373007          177.320388         0.159244523033E-01
0.276400           3.00813696          177.651353         0.169328120205E-01
0.276800           3.80344602          177.974028         0.213707924638E-01
0.277200           5.24514586          178.288392         0.294194468727E-01
0.277600           6.75275373          178.594419         0.378105528974E-01
0.278000           7.59267901          178.892089         0.424427880514E-01
0.278400           7.50302802          179.181380         0.418739268657E-01
0.278800           6.86941111          179.462274         0.382777446352E-01
0.279200           6.31221669          179.734752         0.351196227373E-01
0.279600           6.11986894          179.998797         0.339994991270E-01
0.280000           6.05496722          180.254393         0.335912324509E-01
0.280400           5.64784535          180.501526         0.312897374627E-01
0.280800           4.65410811          180.740181         0.257502679909E-01
0.281200           3.29103666          180.970348         0.181855021896E-01
0.281600           2.12519682          181.192015         0.117289761525E-01
0.282000           1.73663149          181.405171         0.957321932809E-02
0.282400           2.36102909          181.609809         0.130005592496E-01
0.282800           3.68930338          181.805921         0.202925369556E-01
0.283200           4.96763238          181.993502         0.272956578807E-01
0.283600           5.42054847          182.172539         0.297550251150E-01
0.284000           4.77097020          182.343448         0.261647470878E-01
0.284400           3.45098306          182.505368         0.189089400263E-01
0.284800           2.26911935          182.658746         0.124227248567E-01
0.285200           1.78354710          182.803579         0.975663119599E-02
0.285600           1.95954699          182.939866         0.107114268153E-01
0.286000           2.44170230          183.067611         0.133377077744E-01
0.286400           3.12362756          183.186816         0.170515958690E-01
0.286800           4.34439147          183.297486         0.237013150551E-01
0.287200           6.43829771          183.399626         0.351052935135E-01
0.287600           9.13870530          183.493243         0.498040426804E-01
0.288000           11.6067679          183.578344         0.632251476054E-01
0.288400           13.2209107          183.654938         0.719877769340E-01
0.288800           14.3433002          183.723035         0.780702333493E-01
0.289200           16.1208287          183.782647         0.877168165919E-01
0.289600           19.2879175          183.833785         0.104920417827    
0.290000           23.0493042          183.876462         0.125352119477    
0.290400           25.2396807          183.910693         0.137238788428    
0.290800           23.8437232          183.936494         0.129630192674    
0.291200           18.6523640          183.953881         0.101396958297    
