# ort(start) =    -8.1790
#   klo  khi step start
#%    4  126    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.350000           3.97965086          59.9041001         0.664336974438E-01
0.350360           4.74262894          60.3723227         0.785563438188E-01
0.350720           5.47135013          60.8418538         0.899274065874E-01
0.351080           6.13124078          61.3126724         0.999995683852E-01
0.351440           6.69622141          61.7847571         0.108379828990    
0.351800           7.15053624          62.2580863         0.114853132543    
0.352160           7.48920677          62.7326383         0.119382939536    
0.352520           7.71720642          63.2083910         0.122091486478    
0.352880           7.84757388          63.6853223         0.123224215420    
0.353240           7.89878977          64.1634098         0.123104270712    
0.353600           7.89183026          64.6426308         0.122083989428    
0.353960           7.84735415          65.1229626         0.120500570490    
0.354320           7.78344261          65.6043822         0.118642114218    
0.354680           7.71417146          66.0868664         0.116727753597    
0.355040           7.64906975          66.5703918         0.114901978894    
0.355400           7.59326301          67.0549348         0.113239436245    
0.355760           7.54790313          67.5404717         0.111753781696    
0.356120           7.51043689          68.0269784         0.110403799470    
0.356480           7.47440865          68.5144310         0.109092472091    
0.356840           7.42880642          69.0028049         0.107659484653    
0.357200           7.35734540          69.4920758         0.105873156154    
0.357560           7.23838669          69.9822190         0.103431797312    
0.357920           7.04625940          70.4732095         0.999849367672E-01
0.358280           6.75449973          70.9650224         0.951806889781E-01
0.358640           6.34095883          71.4576325         0.887373203862E-01
0.359000           5.79400271          71.9510143         0.805270470277E-01
0.359360           5.11836729          72.4451424         0.706516285858E-01
0.359720           4.33889607          72.9399910         0.594858322313E-01
0.360080           3.50056713          73.4355343         0.476685730070E-01
0.360440           2.66395274          73.9317462         0.360325960274E-01
0.360800           1.89640826          74.4286006         0.254795635628E-01
0.361160           1.26055360          74.9260711         0.168239650505E-01
0.361520          0.802605733          75.4241312         0.106412327185E-01
0.361880          0.543494986          75.9227544         0.715852566215E-02
0.362240          0.475259530          76.4219138         0.621889070905E-02
0.362600          0.564001642          76.9215825         0.733216379360E-02
0.362960          0.758993119          77.4217334         0.980335992497E-02
0.363320           1.00579723          77.9223394         0.129076878373E-01
0.363680           1.26003861          78.4233731         0.160671310471E-01
0.364040           1.49809905          78.9248071         0.189813456708E-01
0.364400           1.72170642          79.4266137         0.216766942160E-01
0.364760           1.95497414          79.9287652         0.244589558874E-01
0.365120           2.23452320          80.4312338         0.277817844396E-01
0.365480           2.59530069          80.9339915         0.320668812239E-01
0.365840           3.05602424          81.4370102         0.375262332675E-01
0.366200           3.60843218          81.9402617         0.440373524061E-01
0.366560           4.21360354          82.4437178         0.511088491416E-01
0.366920           4.80675995          82.9473499         0.579495301227E-01
0.367280           5.30967566          83.4511297         0.636261687647E-01
0.367640           5.64773073          83.9550283         0.672709049627E-01
0.368000           5.76732682          84.4590172         0.682855071513E-01
0.368360           5.64920570          84.9630674         0.664901335038E-01
0.368720           5.31421716          85.4671501         0.621784762251E-01
0.369080           4.81999594          85.9712363         0.560652161041E-01
0.369440           4.24930679          86.4752968         0.491389673434E-01
0.369800           3.69289056          86.9793025         0.424571185290E-01
0.370160           3.23095446          87.4832242         0.369322746076E-01
0.370520           2.91767970          87.9870324         0.331603376463E-01
0.370880           2.77224682          88.4906977         0.313281157272E-01
0.371240           2.77816755          88.9941908         0.312174033163E-01
0.371600           2.89063075          89.4974819         0.322984590450E-01
0.371960           3.04965695          90.0005415         0.338848733628E-01
0.372320           3.19557797          90.5033400         0.353089507268E-01
0.372680           3.28299649          91.0058475         0.360745663672E-01
0.373040           3.28997139          91.5080343         0.359528145697E-01
0.373400           3.22052182          92.0098705         0.350019166647E-01
0.373760           3.10027699          92.5113262         0.335124045560E-01
0.374120           2.96678444          93.0123725         0.318966644648E-01
0.374480           2.85722871          93.5130140         0.305543429939E-01
0.374840           2.79683727          94.0141361         0.297491141960E-01
0.375200           2.79097284          94.5147865         0.295294836132E-01
0.375560           2.82292985          95.0139252         0.297106960342E-01
0.375920           2.85802075          95.5124661         0.299230128921E-01
0.376280           2.85299511          96.0104147         0.297154753125E-01
0.376640           2.76853452          96.5077421         0.286871754018E-01
0.377000           2.58179691          97.0044180         0.266152507448E-01
0.377360           2.29591033          97.5004124         0.235476986771E-01
0.377720           1.94395176          97.9956948         0.198371139347E-01
0.378080           1.58614643          98.4902352         0.161046060024E-01
0.378440           1.30052455          98.9840032         0.131387345930E-01
