# ort(start) =    -8.1790
#   klo  khi step start
#%    4  336    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.620000E-01       4.72520741          365.225892         0.129377667614E-01
0.620500E-01       3.70793346          365.343111         0.101491812836E-01
0.621000E-01       2.90664438          365.459167         0.795340394512E-02
0.621500E-01       2.32529388          365.574060         0.636066430545E-02
0.622000E-01       1.96172338          365.687792         0.536447599209E-02
0.622500E-01       1.80779417          365.800361         0.494202401015E-02
0.623000E-01       1.84975461          365.911770         0.505519298926E-02
0.623500E-01       2.06881943          366.022017         0.565217208858E-02
0.624000E-01       2.44193004          366.131104         0.666955090571E-02
0.624500E-01       2.94265876          366.239032         0.803480379028E-02
0.625000E-01       3.54221511          366.345799         0.966904796677E-02
0.625500E-01       4.21050987          366.451408         0.114899541148E-01
0.626000E-01       4.91723196          366.555859         0.134146865964E-01
0.626500E-01       5.63289441          366.659151         0.153627541966E-01
0.627000E-01       6.32980858          366.761286         0.172586606844E-01
0.627500E-01       6.98295067          366.862264         0.190342571575E-01
0.628000E-01       7.57068994          366.962085         0.206307142994E-01
0.628500E-01       8.07535543          367.060751         0.220000515426E-01
0.629000E-01       8.48362516          367.158261         0.231061808048E-01
0.629500E-01       8.78672976          367.254616         0.239254440117E-01
0.630000E-01       8.98047062          367.349817         0.244466451377E-01
0.630500E-01       9.06505990          367.443864         0.246705980869E-01
0.631000E-01       9.04479685          367.536759         0.246092306125E-01
0.631500E-01       8.92760113          367.628500         0.242843009313E-01
0.632000E-01       8.72442854          367.719090         0.237257971592E-01
0.632500E-01       8.44859859          367.808529         0.229700997634E-01
0.633000E-01       8.11506562          367.896816         0.220579936093E-01
0.633500E-01       7.73966622          367.983954         0.210326187906E-01
0.634000E-01       7.33837544          368.069942         0.199374482949E-01
0.634500E-01       6.92660244          368.154781         0.188143758884E-01
0.635000E-01       6.51855365          368.238472         0.177019897092E-01
0.635500E-01       6.12668729          368.321016         0.166340963978E-01
0.636000E-01       5.76127870          368.402413         0.156385476822E-01
0.636500E-01       5.43011042          368.482663         0.147364067802E-01
0.637000E-01       5.13829520          368.561769         0.139414764152E-01
0.637500E-01       4.88823444          368.639729         0.132601943218E-01
0.638000E-01       4.67970853          368.716545         0.126918864790E-01
0.638500E-01       4.51009043          368.792218         0.122293535655E-01
0.639000E-01       4.37466846          368.866748         0.118597528240E-01
0.639500E-01       4.26706058          368.940137         0.115657261388E-01
0.640000E-01       4.17969849          369.012384         0.113267160445E-01
0.640500E-01       4.10435785          369.083490         0.111204048981E-01
0.641000E-01       4.03270942          369.153457         0.109242087244E-01
0.641500E-01       3.95686528          369.222286         0.107167563744E-01
0.642000E-01       3.86989548          369.289976         0.104792865695E-01
0.642500E-01       3.76629158          369.356528         0.101969000041E-01
0.643000E-01       3.64235656          369.421944         0.985961071660E-02
0.643500E-01       3.49650360          369.486225         0.946315008428E-02
0.644000E-01       3.32945049          369.549370         0.900948767181E-02
0.644500E-01       3.14430077          369.611381         0.850704531716E-02
0.645000E-01       2.94650741          369.672259         0.797059379050E-02
0.645500E-01       2.74372005          369.732004         0.742083461050E-02
0.646000E-01       2.54552126          369.790618         0.688368264163E-02
0.646500E-01       2.36306213          369.848101         0.638927743544E-02
0.647000E-01       2.20861163          369.904454         0.597076246054E-02
0.647500E-01       2.09503762          369.959678         0.566288097736E-02
0.648000E-01       2.03524041          370.013773         0.550044500430E-02
0.648500E-01       2.04156174          370.066742         0.551673931317E-02
0.649000E-01       2.12519333          370.118584         0.574192548592E-02
0.649500E-01       2.29560923          370.169300         0.620151165221E-02
0.650000E-01       2.56004571          370.218892         0.691495158938E-02
0.650500E-01       2.92305067          370.267360         0.789443247670E-02
0.651000E-01       3.38612208          370.314705         0.914390391474E-02
0.651500E-01       3.94745199          370.360928         0.106583920948E-01
0.652000E-01       4.60178842          370.406031         0.124236325518E-01
0.652500E-01       5.34042337          370.450013         0.144160431396E-01
0.653000E-01       6.15131034          370.492877         0.166030461672E-01
0.653500E-01       7.01930987          370.534622         0.189437354911E-01
0.654000E-01       7.92655690          370.575250         0.213898712670E-01
0.654500E-01       8.85293877          370.614763         0.238871725055E-01
0.655000E-01       9.77666873          370.653160         0.263768660287E-01
0.655500E-01       10.6749359          370.690443         0.287974403135E-01
0.656000E-01       11.5246093          370.726612         0.310865444390E-01
0.656500E-01       12.3029720          370.761670         0.331829662237E-01
0.657000E-01       12.9884587          370.795617         0.350286199168E-01
0.657500E-01       13.5613718          370.828453         0.365704726211E-01
0.658000E-01       14.0045483          370.860181         0.377623400622E-01
0.658500E-01       14.3039550          370.890800         0.385664863224E-01
0.659000E-01       14.4491891          370.920313         0.389549686042E-01
0.659500E-01       14.4338657          370.948719         0.389106767521E-01
0.660000E-01       14.2558769          370.976021         0.384280278249E-01
0.660500E-01       13.9175131          371.002219         0.375132880954E-01
0.661000E-01       13.4254408          371.027314         0.361845080119E-01
0.661500E-01       12.7905354          371.051308         0.344710694034E-01
0.662000E-01       12.0275754          371.074201         0.324128580299E-01
0.662500E-01       11.1548071          371.095995         0.300590879655E-01
0.663000E-01       10.1933941          371.116690         0.274668167443E-01
0.663500E-01       9.16676988          371.136288         0.246992012422E-01
0.664000E-01       8.09991643          371.154791         0.218235534952E-01
0.664500E-01       7.01859261          371.172198         0.189092627245E-01
0.665000E-01       5.94853884          371.188511         0.160256544974E-01
0.665500E-01       4.91468546          371.203732         0.132398600280E-01
0.666000E-01       3.94039150          371.217861         0.106147680522E-01
0.666500E-01       3.04673971          371.230900         0.820712853039E-02
0.667000E-01       2.25191153          371.242850         0.606587177290E-02
0.667500E-01       1.57066259          371.253712         0.423069867982E-02
0.668000E-01       1.01391611          371.263487         0.273098794586E-02
0.668500E-01      0.588486705          371.272176         0.158505469246E-02
0.669000E-01      0.296943066          371.279781         0.799782486311E-03
0.669500E-01      0.137612651          371.286303         0.370637565377E-03
0.670000E-01      0.104726850          371.291742         0.282060811135E-03
0.670500E-01      0.188700131          371.296101         0.508220070740E-03
0.671000E-01      0.376532219          371.299380         0.101409331357E-02
0.671500E-01      0.652318298          371.301581         0.175684223186E-02
0.672000E-01      0.997848779          371.302705         0.268742663717E-02
0.672500E-01       1.39327744          371.302752         0.375240266577E-02
