# ort(start) =    -8.1790
#   klo  khi step start
#%    4  326    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.750000E-01      0.866255568          339.178045         0.255398478885E-02
0.750500E-01      0.811039020          339.260098         0.239061128741E-02
0.751000E-01      0.818575074          339.341249         0.241224748354E-02
0.751500E-01      0.892784714          339.421498         0.263031281222E-02
0.752000E-01       1.03448916          339.500844         0.304708861531E-02
0.752500E-01       1.24121994          339.579290         0.365516972004E-02
0.753000E-01       1.50717645          339.656834         0.443735058241E-02
0.753500E-01       1.82334017          339.733477         0.536697231684E-02
0.754000E-01       2.17774801          339.809220         0.640873725384E-02
0.754500E-01       2.55592028          339.884063         0.751997683083E-02
0.755000E-01       2.94143141          339.958006         0.865233751633E-02
0.755500E-01       3.31660472          340.031050         0.975382903206E-02
0.756000E-01       3.66330603          340.103194         0.107711603123E-01
0.756500E-01       3.96380522          340.174441         0.116522723326E-01
0.757000E-01       4.20167064          340.244789         0.123489639752E-01
0.757500E-01       4.36265777          340.314239         0.128194981898E-01
0.758000E-01       4.43555247          340.382792         0.130310713972E-01
0.758500E-01       4.41292884          340.450448         0.129620297544E-01
0.759000E-01       4.29178412          340.517208         0.126037216913E-01
0.759500E-01       4.07401622          340.583072         0.119618869974E-01
0.760000E-01       3.76671514          340.648039         0.110574983766E-01
0.760500E-01       3.38224617          340.712112         0.992699129835E-02
0.761000E-01       2.93811051          340.775290         0.862184143165E-02
0.761500E-01       2.45657831          340.837574         0.720747505995E-02
0.762000E-01       1.96409811          340.898963         0.576152560089E-02
0.762500E-01       1.49049662          340.959460         0.437147754487E-02
0.763000E-01       1.06799211          341.019063         0.313176658444E-02
0.763500E-01      0.730053177          341.077774         0.214043022386E-02
0.764000E-01      0.510142892          341.135593         0.149542558021E-02
0.764500E-01      0.440394027          341.192521         0.129074935736E-02
0.765000E-01      0.550266092          341.248557         0.161250818734E-02
0.765500E-01      0.865237304          341.303703         0.253509497766E-02
0.766000E-01       1.40558512          341.357959         0.411762809682E-02
0.766500E-01       2.18530730          341.411326         0.640080494779E-02
0.767000E-01       3.21123138          341.463803         0.940430976884E-02
0.767500E-01       4.48235459          341.515393         0.131248976862E-01
0.768000E-01       5.98944812          341.566094         0.175352537179E-01
0.768500E-01       7.71495030          341.615908         0.225836974368E-01
0.769000E-01       9.63316225          341.664835         0.281947723975E-01
0.769500E-01       11.7107481          341.712875         0.342707254683E-01
0.770000E-01       13.9075301          341.760030         0.406938462253E-01
0.770500E-01       16.1775561          341.806300         0.473296020229E-01
0.771000E-01       18.4704078          341.851685         0.540304716707E-01
0.771500E-01       20.7327048          341.896186         0.606403512215E-01
0.772000E-01       22.9097550          341.939804         0.669993804906E-01
0.772500E-01       24.9472909          341.982538         0.729490196703E-01
0.773000E-01       26.7932306          342.024390         0.783371926745E-01
0.773500E-01       28.3993979          342.065361         0.830233082662E-01
0.774000E-01       29.7231382          342.105450         0.868829719042E-01
0.774500E-01       30.7287682          342.144659         0.898122106313E-01
0.775000E-01       31.3888048          342.182988         0.917310499021E-01
0.775500E-01       31.6849256          342.220438         0.925863044231E-01
0.776000E-01       31.6086237          342.257008         0.923534739638E-01
0.776500E-01       31.1615295          342.292701         0.910376685566E-01
0.777000E-01       30.3553873          342.327517         0.886735242049E-01
0.777500E-01       29.2116860          342.361455         0.853241086812E-01
0.778000E-01       27.7609556          342.394517         0.810788556500E-01
0.778500E-01       26.0417572          342.426704         0.760506026114E-01
0.779000E-01       24.0994016          342.458016         0.703718425045E-01
0.779500E-01       21.9844464          342.488454         0.641903288076E-01
0.780000E-01       19.7510269          342.518018         0.576641983934E-01
0.780500E-01       17.4550822          342.546709         0.509567942363E-01
