# ort(start) =    -8.1790
#   klo  khi step start
#%    4  162    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.300000           1.16473125          92.8847880         0.125395263869E-01
0.300300           1.39352983          93.3941277         0.149209577031E-01
0.300600           1.67510605          93.9034529         0.178385991148E-01
0.300900           1.96729593          94.4127385         0.208371874286E-01
0.301200           2.22941970          94.9219598         0.234868696501E-01
0.301500           2.43123105          95.4310916         0.254762992860E-01
0.301800           2.55797137          95.9401089         0.266621687048E-01
0.302100           2.61049425          96.4489866         0.270660619714E-01
0.302400           2.60110069          96.9576994         0.268271700779E-01
0.302700           2.54704302          97.4662223         0.261325715154E-01
0.303000           2.46418530          97.9745298         0.251512847583E-01
0.303300           2.36292058          98.4825968         0.239932806381E-01
0.303600           2.24734983          98.9903977         0.227027053683E-01
0.303900           2.11738095          99.4979074         0.212806581575E-01
0.304200           1.97233247          100.005100         0.197223188003E-01
0.304500           1.81421101          100.511951         0.180497044616E-01
0.304800           1.64918280          101.018434         0.163255630058E-01
0.305100           1.48667798          101.524523         0.146435357044E-01
0.305400           1.33664114          102.030194         0.131004469543E-01
0.305700           1.20622436          102.535420         0.117639773390E-01
0.306000           1.09740631          103.040177         0.106502758459E-01
0.306300           1.00657275          103.544437         0.972116685245E-02
0.306600          0.926232890          104.048177         0.890196173781E-02
0.306900          0.848156879          104.551370         0.811234595503E-02
0.307200          0.766679610          105.053990         0.729795806657E-02
0.307500          0.680934979          105.556011         0.645093510937E-02
0.307800          0.595328655          106.057409         0.561326795221E-02
0.308100          0.518365818          106.558157         0.486462821419E-02
0.308400          0.460659040          107.058230         0.430288301560E-02
0.308700          0.433238185          107.557601         0.402796435742E-02
0.309000          0.447041498          108.056245         0.413711859044E-02
0.309300          0.513793470          108.554191         0.473305971575E-02
0.309600          0.647666588          109.053845         0.593896151317E-02
0.309900          0.866539175          109.550178         0.790997507117E-02
0.310200           1.19157266          110.045656         0.108279845333E-01
0.310500           1.64431477          110.540276         0.148752547344E-01
0.310800           2.24143862          111.034016         0.201869544536E-01
0.311100           2.98823153          111.526849         0.267938309676E-01
0.311400           3.87268292          112.018749         0.345717386308E-01
0.311700           4.86220569          112.509692         0.432158829599E-01
0.312000           5.90456043          112.999652         0.522529080876E-01
0.312300           6.93354857          113.488603         0.610946683274E-01
0.312600           7.87877844          113.976520         0.691263291603E-01
0.312900           8.67764144          114.463377         0.758115097766E-01
0.313200           9.28688640          114.949149         0.807912581658E-01
0.313500           9.69105624          115.433811         0.839533595479E-01
0.313800           9.90559910          115.917337         0.854539914000E-01
0.314100           9.97357474          116.399701         0.856838515996E-01
0.314400           9.95630778          116.880880         0.851833748142E-01
0.314700           9.91977930          117.360846         0.845237540402E-01
0.315000           9.91966776          117.839576         0.841794250388E-01
0.315300           9.98846500          118.317044         0.844211845626E-01
0.315600           10.1278269          118.793225         0.852559300290E-01
0.315900           10.3082537          119.268094         0.864292651712E-01
0.316200           10.4765136          119.741626         0.874926624611E-01
0.316500           10.5692847          120.213796         0.879207298621E-01
0.316800           10.5297895          120.684580         0.872504963098E-01
0.317100           10.3232221          121.153952         0.852074731255E-01
0.317400           9.94686935          121.621888         0.817851912674E-01
0.317700           9.43208470          122.088363         0.772562140581E-01
0.318000           8.83741360          122.553353         0.721107451210E-01
0.318300           8.23462497          123.016833         0.669390095414E-01
0.318600           7.69145254          123.478779         0.622896710937E-01
0.318900           7.25583964          123.939167         0.585435567332E-01
0.319200           6.94605418          124.397972         0.558373588597E-01
0.319500           6.74927728          124.855169         0.540568508822E-01
0.319800           6.62869101          125.310736         0.528980293951E-01
0.320100           6.53651059          125.764648         0.519741492404E-01
0.320400           6.42866108          126.216881         0.509334490273E-01
0.320700           6.27646683          126.667411         0.495507625622E-01
0.321000           6.07191227          127.116215         0.477666224593E-01
0.321300           5.82533875          127.563269         0.456662704612E-01
0.321600           5.55707160          128.008549         0.434117223052E-01
0.321900           5.28651945          128.452033         0.411555920003E-01
0.322200           5.02305142          128.893696         0.389704973429E-01
0.322500           4.76218204          129.333515         0.368209434501E-01
0.322800           4.48856214          129.771468         0.345882050834E-01
0.323100           4.18470625          130.207531         0.321387421067E-01
0.323400           3.84218603          130.641681         0.294101085758E-01
0.323700           3.47095699          131.073896         0.264809171696E-01
0.324000           3.10293828          131.504154         0.235957435362E-01
0.324300           2.78778876          131.932430         0.211304282989E-01
0.324600           2.58141254          132.358704         0.195031567223E-01
0.324900           2.53022672          132.782952         0.190553582671E-01
0.325200           2.65581456          133.205153         0.199377764735E-01
0.325500           2.94475283          133.625284         0.220373924703E-01
0.325800           3.34708310          134.043324         0.249701589586E-01
0.326100           3.78449743          134.459250         0.281460548591E-01
0.326400           4.16655091          134.873041         0.308923923978E-01
0.326700           4.41090951          135.284676         0.326046500097E-01
0.327000           4.46244766          135.694133         0.328860767496E-01
0.327300           4.30624813          136.101390         0.316400010591E-01
0.327600           3.97113477          136.506427         0.290911926708E-01
0.327900           3.52283266          136.909223         0.257311567180E-01
0.328200           3.04851853          137.309756         0.222017620940E-01
0.328500           2.63668604          137.708006         0.191469335541E-01
0.328800           2.35734855          138.103953         0.170693778556E-01
0.329100           2.24737650          138.497575         0.162268292314E-01
0.329400           2.30431090          138.888853         0.165910426882E-01
0.329700           2.48972354          139.277767         0.178759581601E-01
0.330000           2.74073085          139.664296         0.196237043070E-01
0.330300           2.98627299          140.048421         0.213231463869E-01
0.330600           3.16376562          140.430122         0.225291096383E-01
0.330900           3.23195705          140.809379         0.229527113821E-01
0.331200           3.17716484          141.186174         0.225033709419E-01
0.331500           3.01209353          141.560486         0.212777845208E-01
0.331800           2.76852644          141.932298         0.195059650414E-01
0.332100           2.48672091          142.301589         0.174750045436E-01
0.332400           2.20489030          142.668341         0.154546571561E-01
0.332700           1.95163246          143.032536         0.136446748983E-01
0.333000           1.74281867          143.394156         0.121540425371E-01
0.333300           1.58280477          143.753181         0.110105721075E-01
0.333600           1.46845476          144.109595         0.101898472615E-01
0.333900           1.39382515          144.463379         0.964829398477E-02
0.334200           1.35359760          144.814515         0.934711276852E-02
0.334500           1.34427995          145.162986         0.926048705348E-02
0.334800           1.36337854          145.508774         0.936973418250E-02
0.335100           1.40766803          145.851863         0.965135448157E-02
0.335400           1.47197752          146.192236         0.100687804603E-01
0.335700           1.54949206          146.529874         0.105745812425E-01
0.336000           1.63367020          146.864763         0.111236362611E-01
0.336300           1.72094001          147.196885         0.116914159218E-01
0.336600           1.81280954          147.526224         0.122880494758E-01
0.336900           1.91617365          147.852765         0.129600123454E-01
0.337200           2.04136658          148.176490         0.137765888443E-01
0.337500           2.19855812          148.497385         0.148053659119E-01
