# ort(start) =    -8.1790
#   klo  khi step start
#%    4   90    1    4

# Energy[ev]             flux               DELTA(E)           Probability
0.800000           2.57573755          69.3364335         0.371483998227E-01
0.800400           2.66335870          69.6041387         0.382643726531E-01
0.800800           2.73260383          69.8715624         0.391089555513E-01
0.801200           2.77074891          70.1386949         0.395038560294E-01
0.801600           2.77083716          70.4055263         0.393553930076E-01
0.802000           2.73258856          70.6720469         0.386657621558E-01
0.802400           2.66216733          70.9382468         0.375279549494E-01
0.802800           2.57087713          71.2041162         0.361057375088E-01
0.803200           2.47305091          71.4696453         0.346028149657E-01
0.803600           2.38354579          71.7348243         0.332271781769E-01
0.804000           2.31531423          71.9996434         0.321573013570E-01
0.804400           2.27749159          72.2640926         0.315162275774E-01
0.804800           2.27432384          72.5281623         0.313578032466E-01
0.805200           2.30508379          72.7918425         0.316667872472E-01
0.805600           2.36492526          73.0551234         0.323717919475E-01
0.806000           2.44644333          73.3179952         0.333675698906E-01
0.806400           2.54158028          73.5804481         0.345415167455E-01
0.806800           2.64346570          73.8424721         0.357987161734E-01
0.807200           2.74781339          74.1040576         0.370804714081E-01
0.807600           2.85360663          74.3651945         0.383728792454E-01
0.808000           2.96296340          74.6258732         0.397042375557E-01
0.808400           3.08024862          74.8860837         0.411324570937E-01
0.808800           3.21065619          75.1458163         0.427256812055E-01
0.809200           3.35858682          75.4050611         0.445406020310E-01
0.809600           3.52618064          75.6638083         0.466032667481E-01
0.810000           3.71232015          75.9220482         0.488964699580E-01
0.810400           3.91231211          76.1797708         0.513563123620E-01
0.810800           4.11831030          76.4369665         0.538785157557E-01
0.811200           4.32038567          76.6936253         0.563330478398E-01
0.811600           4.50801940          76.9497377         0.585839475863E-01
0.812000           4.67171391          77.2052936         0.605102797335E-01
0.812400           4.80440094          77.4602835         0.620240556589E-01
0.812800           4.90237699          77.7146976         0.630817225863E-01
0.813200           4.96560135          77.9685261         0.636872543638E-01
0.813600           4.99732666          78.2217592         0.638866564486E-01
0.814000           5.00316971          78.4743874         0.637554477998E-01
0.814400           4.98984034          78.7264008         0.633820457610E-01
0.814800           4.96380868          78.9777898         0.628506912055E-01
0.815200           4.93019322          79.2285447         0.622274868756E-01
0.815600           4.89209569          79.4786558         0.615523204280E-01
0.816000           4.85050630          79.7281136         0.608380918397E-01
0.816400           4.80477710          79.9769083         0.600770547920E-01
0.816800           4.75353756          80.2250305         0.592525492128E-01
0.817200           4.69583086          80.4724703         0.583532584439E-01
0.817600           4.63220109          80.7192184         0.573865949418E-01
0.818000           4.56546943          80.9652651         0.563880008102E-01
0.818400           4.50099995          81.2106009         0.554237980888E-01
0.818800           4.44636021          81.4552163         0.545865619423E-01
0.819200           4.41040731          81.6991015         0.539835473027E-01
0.819600           4.40195103          81.9422476         0.537201645770E-01
0.820000           4.42823922          82.1846542         0.538815823759E-01
0.820400           4.49355698          82.4262657         0.545160810305E-01
0.820800           4.59822101          82.6675487         0.556230477225E-01
0.821200           4.73818524          82.9075986         0.571501926834E-01
0.821600           4.90536474          83.1469090         0.589963571015E-01
0.822000           5.08865177          83.3854202         0.610256775794E-01
0.822400           5.27546634          83.6231255         0.630862134276E-01
0.822800           5.45357773          83.8600164         0.650319182183E-01
0.823200           5.61287466          84.0960838         0.667435914423E-01
