# time (ps) E (eV)  P_abs   P_ads   P_ref
0.02 0.80 0.0  0  0 
0.125 0.80 0.183  83.700  16.117 
0.250 0.80 1.475  38.367  60.158 
0.500 0.80 2.917  8.662  88.421 
0.750 0.80 3.329  2.038  94.633 
1.00 0.80 3.433  0.562  96.004 
1.50 0.80 3.479  0.075  96.446 
2.00 0.80 3.483  0.021  96.496 
3.0 0.80 3.483  0.013  96.504 
4.00 0.80 3.483  0.000  96.517 
5.00 0.80 3.483  0.000  96.517 
10.00 0.80 3.483  0.000  96.517 
20.00 0.80 3.483  0.000  96.517 
