# time (ps) E (eV)  P_abs   P_ads   P_ref
0.125 0.05 0.000  0.000 0
0.250 0.05 0.046  99.954  0.000 
0.500 0.05 0.462  91.204  8.333 
0.750 0.05 1.196  80.421  18.383 
1.00 0.05 2.025  70.487  27.487 
1.50 0.05 3.562  53.454  42.983 
2.00 0.05 4.833  40.817  54.350 
3.0 0.05 6.504  23.225  70.271 
4.00 0.05 7.554  13.062  79.383 
5.00 0.05 8.083  7.450  84.467 
10.00 0.05 8.737  0.533  90.729 
20.00 0.05 8.796  0.000  91.204 
